,index,model,score
120,120,def_notemp_4.pdb,0.862532
121,121,deepmsa_qMSA_2.pdb,0.861732
122,122,af3_jian_9.pdb,0.860568
123,123,af3_pawan_5.pdb,0.860518
124,124,af3_jian_6.pdb,0.860383
125,125,af3_pawan_8.pdb,0.86036
126,126,af3_jian_1.pdb,0.859853
127,127,colabfold_web_not_2.pdb,0.859201
128,128,colabfold_web_not_1.pdb,0.858912
129,129,af3_jian_8.pdb,0.858891
130,130,af3_jian_3.pdb,0.858671
131,131,colabfold_web_0.pdb,0.858251
132,132,af3_pawan_9.pdb,0.858125
133,133,af3_pawan_2.pdb,0.857015
134,134,colabfold_web_3.pdb,0.856894
135,135,def_ptm_not_drop_nos_4.pdb,0.856839
136,136,af3_jian_0.pdb,0.856683
137,137,af3_pawan_4.pdb,0.85667
138,138,af3_jian_7.pdb,0.856584
139,139,colabfold_web_not_0.pdb,0.856548
140,140,af3_pawan_6.pdb,0.856407
141,141,af3_pawan_1.pdb,0.856017
142,142,af3_pawan_0.pdb,0.855599
143,143,colabfold_web_2.pdb,0.855409
144,144,af3_pawan_7.pdb,0.855165
145,145,af3_jian_5.pdb,0.85436
146,146,af3_jian_2.pdb,0.853357
147,147,af3_pawan_3.pdb,0.851778
148,148,dhr_4.pdb,0.84621
149,149,def_ptm_not_drop_nos_1.pdb,0.846189
150,150,def_notemp_2.pdb,0.811952
151,151,deepmsa_qMSA_hh3_4.pdb,0.810236
152,152,default_seq_temp_2.pdb,0.80896
153,153,deepmsa_qMSA_jac_3.pdb,0.808696
154,154,default_pdb70_new_2.pdb,0.807923
155,155,def_esm_msa_ckpt5_0.pdb,0.803083
156,156,def_drop_nos_1.pdb,0.801234
157,157,def_drop_nos_0.pdb,0.783799
158,158,default_1.pdb,0.773516
159,159,def_esm_msa_1.pdb,0.765525
160,160,def_esm_msa_0.pdb,0.764889
161,161,def_esm_msa_2.pdb,0.764751
162,162,def_drop_s_2.pdb,0.76096
163,163,def_drop_nos_2.pdb,0.751301
164,164,def_drop_nos_4.pdb,0.746628
165,165,def_esm_msa_ckpt5_1.pdb,0.745351
166,166,default_0.pdb,0.73935
167,167,def_drop_s_3.pdb,0.738804
168,168,def_esm_msa_4.pdb,0.730339
169,169,def_ptm_drop_nos_2.pdb,0.73001
170,170,default_3.pdb,0.72838
171,171,def_esm_msa_3.pdb,0.72208
172,172,default_2.pdb,0.718868
173,173,default_ptm_2.pdb,0.715317
174,174,def_ptm_drop_nos_0.pdb,0.713098
175,175,def_drop_s_0.pdb,0.71159
176,176,def_drop_s_1.pdb,0.706553
177,177,default_ptm_0.pdb,0.698708
178,178,def_ptm_drop_nos_1.pdb,0.695999
179,179,def_drop_s_4.pdb,0.69205
180,180,def_ptm_drop_nos_3.pdb,0.691327
181,181,def_drop_nos_3.pdb,0.664793
182,182,default_4.pdb,0.661943
183,183,def_ptm_drop_s_2.pdb,0.659644
184,184,def_ptm_drop_nos_4.pdb,0.649373
185,185,def_esm_msa_ckpt5_3.pdb,0.564207
186,186,def_ptm_drop_s_3.pdb,0.553674
187,187,default_ptm_1.pdb,0.373849
188,188,default_ptm_3.pdb,0.356808
189,189,def_ptm_drop_s_1.pdb,0.349468
190,190,deepmsa_dMSA_hhb_3.pdb,0.34656
191,191,def_ptm_drop_s_4.pdb,0.3308
192,192,def_esm_msa_ckpt5_2.pdb,0.330166
193,193,deepmsa_dMSA_hhb_4.pdb,0.278908
194,194,def_esm_msa_ckpt5_4.pdb,0.26298
195,195,default_ptm_4.pdb,0.257202
196,196,def_ptm_drop_s_0.pdb,0.254333
197,197,deepmsa_dMSA_hhb_2.pdb,0.253678
198,198,deepmsa_dMSA_hhb_1.pdb,0.24889
199,199,deepmsa_dMSA_hhb_0.pdb,0.231282
