,model,plddt_avg,af3_ranking_score
0,ori_seq_temp_0.pdb,96.86338161751748,-1
1,default_pdb70_new_0.pdb,96.74662349214117,-1
2,def_notemp_0.pdb,96.74476998232157,-1
3,original_0.pdb,96.72688265296509,-1
4,def_notemp_1.pdb,96.71528711598911,-1
5,def_notemp_2.pdb,96.7141149166864,-1
6,colabfold_web_0.pdb,96.7140145192774,-1
7,ori_seq_temp_1.pdb,96.71398163892744,-1
8,ori_seq_temp_2.pdb,96.67593907080342,-1
9,ori_seq_temp_3.pdb,96.67376388469806,-1
10,ori_seq_temp_4.pdb,96.67223054667552,-1
11,default_pdb70_new_1.pdb,96.67095166657651,-1
12,colabfold_web_1.pdb,96.66235275335379,-1
13,def_notemp_3.pdb,96.64646083844407,-1
14,default_seq_temp_0.pdb,96.63786760299779,-1
15,default_seq_temp_1.pdb,96.63266826875761,-1
16,original_1.pdb,96.62981690183535,-1
17,original_2.pdb,96.62936698063449,-1
18,original_3.pdb,96.62918687227338,-1
19,default_seq_temp_2.pdb,96.62379463439784,-1
20,default_seq_temp_3.pdb,96.61496100482053,-1
21,def_notemp_4.pdb,96.61472644863484,-1
22,default_seq_temp_4.pdb,96.6105894274339,-1
23,deepmsa_qMSA_hhb_0.pdb,96.6044685223501,-1
24,original_4.pdb,96.59710397259859,-1
25,def_ptm_notemp_0.pdb,96.58722232249522,-1
26,colabfold_web_not_0.pdb,96.58419600547784,-1
27,colabfold_web_not_1.pdb,96.58340948202158,-1
28,def_ptm_notemp_1.pdb,96.5805213338155,-1
29,def_ptm_notemp_2.pdb,96.55280778313683,-1
30,default_pdb70_new_2.pdb,96.53866258885174,-1
31,def_ptm_notemp_3.pdb,96.53639667376598,-1
32,def_ptm_notemp_4.pdb,96.52662824539608,-1
33,colabfold_web_not_2.pdb,96.5175660318906,-1
34,default_pdb70_new_3.pdb,96.48309692850029,-1
35,default_pdb70_new_4.pdb,96.47336727351673,-1
36,dhr_0.pdb,96.44477025683204,-1
37,colabfold_web_2.pdb,96.43853496760616,-1
38,colabfold_web_3.pdb,96.42657330951926,-1
39,colabfold_web_not_3.pdb,96.42412341019983,-1
40,deepmsa_qMSA_0.pdb,96.40531120160557,-1
