,model,score
0,def_ptm_drop_s_1,0.9929479166666668
1,def_esm_msa_1,0.9927152777777779
2,default_pdb70_new_3,0.9927006944444443
3,colabfold_web_not_2,0.9926625
4,af3_pawan_7,0.9926118055555556
5,def_notemp_drop_nos_4,0.9925638888888889
6,colabfold_web_not_4,0.9925569444444444
7,def_ptm_not_drop_s_3,0.992554861111111
8,def_notemp_drop_nos_3,0.992523611111111
9,default_seq_temp_0,0.9925215277777778
10,def_ptm_notemp_0,0.9925201388888889
11,colabfold_web_not_1,0.9925006944444443
12,original_1,0.9924625
13,deepmsa_qMSA_hhb_0,0.9924479166666667
14,def_ptm_notemp_1,0.9924284722222221
15,af3_pawan_6,0.9924284722222221
16,af3_jian_1,0.9923951388888889
17,def_ptm_notemp_3,0.9923854166666667
18,def_notemp_drop_s_1,0.9923840277777778
19,af3_pawan_4,0.9923729166666667
20,af3_pawan_8,0.9923493055555556
21,def_ptm_not_drop_nos_3,0.9923451388888888
22,def_ptm_not_drop_s_0,0.9922965277777777
23,def_notemp_4,0.992270138888889
24,af3_jian_7,0.9922624999999999
25,af3_pawan_3,0.992261111111111
26,af3_jian_0,0.9922527777777775
27,def_notemp_drop_nos_2,0.9921944444444445
28,def_ptm_not_drop_s_4,0.9921277777777777
29,def_notemp_drop_s_4,0.9921090277777778
30,default_seq_temp_2,0.9920895833333332
31,original_3,0.9920812499999998
32,original_2,0.9920736111111109
33,def_notemp_drop_s_0,0.9920729166666669
34,default_pdb70_new_1,0.9920680555555556
35,original_0,0.9920208333333334
36,colabfold_web_1,0.9919986111111112
37,af3_pawan_2,0.9919902777777779
38,def_esm_msa_3,0.9919833333333334
39,def_notemp_2,0.9919791666666666
40,af3_pawan_1,0.991975
41,original_4,0.9919722222222224
42,def_notemp_drop_s_3,0.9919527777777779
43,colabfold_web_2,0.9919444444444445
44,def_notemp_1,0.991929861111111
45,colabfold_web_0,0.9919222222222221
46,def_notemp_drop_nos_1,0.9919173611111112
47,ori_seq_temp_4,0.9919111111111112
48,af3_jian_4,0.9919069444444446
49,def_ptm_notemp_2,0.9918409722222223
50,def_notemp_0,0.9918055555555555
51,def_notemp_3,0.9917993055555555
52,default_pdb70_new_0,0.991792361111111
53,dhr_0,0.9917743055555557
54,default_ptm_0,0.991740277777778
55,colabfold_web_not_0,0.9917277777777779
56,af3_jian_6,0.9917180555555558
57,def_ptm_drop_s_4,0.9917013888888889
58,af3_jian_2,0.9916430555555557
59,def_ptm_not_drop_nos_1,0.9916402777777777
60,def_notemp_drop_s_2,0.9916159722222222
61,af3_jian_9,0.9915590277777776
62,deepmsa_qMSA_hhb_1,0.9915256944444444
63,ori_seq_temp_0,0.9914013888888888
64,af3_jian_3,0.9913645833333331
65,af3_pawan_9,0.9912486111111112
66,ori_seq_temp_3,0.9911159722222221
67,ori_seq_temp_2,0.9911097222222224
68,default_seq_temp_1,0.9910437499999999
69,default_2,0.9909958333333333
70,default_pdb70_new_4,0.9909597222222222
71,def_drop_s_4,0.9909520833333332
72,deepmsa_dMSA_hhb_1,0.9906965277777778
73,def_drop_s_2,0.9905409722222223
74,af3_jian_8,0.9903715277777777
75,default_4,0.9897145833333334
76,af3_jian_5,0.9896999999999999
77,def_esm_msa_ckpt5_1,0.9896250000000002
78,def_esm_msa_ckpt5_4,0.98948125
79,deepmsa_qMSA_hhb_2,0.9894541666666667
80,def_drop_nos_3,0.9894333333333333
81,def_esm_msa_ckpt5_2,0.9894000000000001
82,def_drop_nos_2,0.989375
83,def_drop_nos_4,0.9893548611111113
84,def_ptm_drop_s_0,0.9892930555555554
85,def_drop_s_3,0.9892409722222221
86,deepmsa_dMSA_hhb_2,0.9891812500000001
87,def_esm_msa_ckpt5_3,0.9891090277777776
88,deepmsa_qMSA_1,0.9890958333333333
89,def_drop_nos_1,0.9890798611111111
90,def_drop_s_1,0.9890750000000001
91,def_ptm_drop_nos_3,0.9888319444444443
92,default_3,0.9887777777777779
93,deepmsa_qMSA_0,0.988617361111111
94,af3_pawan_0,0.9884368055555556
95,deepmsa_dMSA_hhb_0,0.98825625
96,dhr_1,0.9882000000000001
97,default_1,0.9881819444444445
98,dhr_2,0.9881437500000002
99,def_ptm_drop_nos_2,0.9881222222222222
100,deepmsa_dMSA_hhb_3,0.9880083333333334
101,def_ptm_drop_s_2,0.987965972222222
102,def_ptm_not_drop_s_1,0.9878708333333334
103,def_ptm_not_drop_s_2,0.9877819444444442
104,def_ptm_not_drop_nos_2,0.9877006944444445
105,af3_pawan_5,0.9875979166666666
106,def_ptm_notemp_4,0.9875729166666667
107,default_ptm_2,0.9875701388888888
108,def_ptm_drop_nos_4,0.9875006944444445
109,default_ptm_1,0.98731875
110,default_ptm_4,0.9871222222222222
111,def_ptm_not_drop_nos_4,0.9869104166666668
112,colabfold_web_4,0.98683125
113,def_ptm_not_drop_nos_0,0.9867666666666667
114,default_0,0.9867645833333333
115,def_ptm_drop_s_3,0.9866527777777778
116,def_esm_msa_0,0.9865506944444447
117,colabfold_web_3,0.9865416666666668
118,default_seq_temp_4,0.9863680555555554
119,def_esm_msa_2,0.9863166666666667
120,deepmsa_qMSA_2,0.9862986111111111
121,default_ptm_3,0.9861847222222223
122,def_notemp_drop_nos_0,0.9860756944444442
123,ori_seq_temp_1,0.9860124999999998
124,def_ptm_drop_nos_1,0.9859284722222222
125,colabfold_web_not_3,0.9855222222222222
126,default_seq_temp_3,0.9852902777777778
127,default_pdb70_new_2,0.9852131944444444
128,deepmsa_qMSA_4,0.9848881944444443
129,def_esm_msa_ckpt5_0,0.9838770833333332
130,deepmsa_qMSA_hhb_3,0.9835375000000001
131,def_esm_msa_4,0.9835333333333334
132,def_drop_nos_0,0.9832430555555555
133,def_drop_s_0,0.9817944444444444
134,def_ptm_drop_nos_0,0.9814847222222222
135,dhr_4,0.9812201388888889
136,deepmsa_dMSA_4,0.9811215277777777
137,deepmsa_dMSA_0,0.9805645833333334
138,deepmsa_dMSA_3,0.9804527777777778
139,deepmsa_dMSA_1,0.9802500000000001
140,deepmsa_dMSA_2,0.9801215277777777
141,deepmsa_qMSA_3,0.9796555555555556
142,deepmsa_qMSA_hhb_4,0.978876388888889
143,deepmsa_dMSA_hhb_4,0.9787895833333332
144,dhr_3,0.9780180555555555
