,model,plddt_avg,af3_ranking_score
0,deepmsa_dMSA_0.pdb,92.0474716661703,-1
1,deepmsa_dMSA_hhb_0.pdb,92.03084787990143,-1
2,deepmsa_dMSA_hhb_1.pdb,92.00995929823992,-1
3,deepmsa_dMSA_hhb_2.pdb,92.0034241933459,-1
4,deepmsa_dMSA_hhb_3.pdb,91.99862706511922,-1
5,deepmsa_dMSA_hhb_4.pdb,91.99174664343985,-1
6,deepmsa_dMSA_1.pdb,91.9815878144185,-1
7,deepmsa_dMSA_2.pdb,91.85478924206659,-1
8,deepmsa_dMSA_3.pdb,91.83477474692378,-1
9,deepmsa_dMSA_4.pdb,91.81472114266724,-1
10,deepmsa_qMSA_0.pdb,91.57132675873223,-1
11,deepmsa_qMSA_1.pdb,91.32668999331891,-1
12,deepmsa_qMSA_2.pdb,91.28871138519251,-1
13,deepmsa_qMSA_3.pdb,91.27590635996117,-1
14,deepmsa_qMSA_4.pdb,91.21515727192148,-1
15,deepmsa_qMSA_hhb_0.pdb,90.96022076746925,-1
16,deepmsa_qMSA_hhb_1.pdb,90.90809589553315,-1
17,deepmsa_qMSA_hhb_2.pdb,90.89975077686208,-1
18,deepmsa_qMSA_hhb_3.pdb,90.83280463232585,-1
19,deepmsa_qMSA_hhb_4.pdb,90.80750013717277,-1
20,default_pdb70_new_0.pdb,90.47096223138216,-1
21,af3_pawan_0.pdb,90.43939208984375,0.93
22,ori_seq_temp_0.pdb,90.41448017952786,-1
23,default_pdb70_new_1.pdb,90.39833800374936,-1
24,default_pdb70_new_2.pdb,90.36398235028805,-1
25,default_pdb70_new_3.pdb,90.36100517274093,-1
26,default_pdb70_new_4.pdb,90.34603600332134,-1
27,default_seq_temp_0.pdb,90.33614060191493,-1
28,def_ptm_notemp_0.pdb,90.3200735492889,-1
29,ori_seq_temp_1.pdb,90.31649146743925,-1
30,default_seq_temp_1.pdb,90.31612265562134,-1
31,original_0.pdb,90.31268208988944,-1
32,original_1.pdb,90.31149255558697,-1
33,af3_pawan_4.pdb,90.308349609375,0.93
34,ori_seq_temp_2.pdb,90.2794507876645,-1
35,af3_jian_6.pdb,90.27631378173828,0.93
36,ori_seq_temp_3.pdb,90.27334717905657,-1
37,def_notemp_0.pdb,90.2671403688672,-1
38,def_notemp_1.pdb,90.25476824890283,-1
39,def_ptm_notemp_1.pdb,90.24472066376306,-1
40,default_seq_temp_2.pdb,90.24151675755067,-1
41,ori_seq_temp_4.pdb,90.23908675766832,-1
42,def_notemp_2.pdb,90.23672836483715,-1
43,def_ptm_notemp_2.pdb,90.22138283460569,-1
44,def_notemp_3.pdb,90.21943392258407,-1
45,af3_jian_7.pdb,90.21479034423828,0.93
46,def_notemp_4.pdb,90.21076574934253,-1
47,default_seq_temp_3.pdb,90.20958273483802,-1
48,default_seq_temp_4.pdb,90.20911979091234,-1
49,original_2.pdb,90.20428375414244,-1
50,af3_pawan_7.pdb,90.2024154663086,0.93
51,original_3.pdb,90.20108481180398,-1
52,def_ptm_notemp_3.pdb,90.19988031439954,-1
53,original_4.pdb,90.17876892098346,-1
54,def_esm_msa_0.pdb,90.17119249377825,-1
55,af3_pawan_3.pdb,90.1696548461914,0.93
56,def_ptm_notemp_4.pdb,90.16815738120525,-1
57,af3_pawan_9.pdb,90.16400146484375,0.92
