,model,score
0,def_ptm_drop_nos_4,0.9421527777777778
1,default_ptm_2,0.9415361111111112
2,default_ptm_0,0.9414576388888888
3,default_ptm_3,0.9414409722222222
4,def_ptm_drop_s_1,0.9413680555555555
5,def_esm_msa_ckpt5_4,0.9409791666666669
6,def_ptm_drop_nos_0,0.9406861111111111
7,def_esm_msa_ckpt5_2,0.9404618055555554
8,def_notemp_drop_nos_2,0.9403375
9,def_esm_msa_ckpt5_3,0.9402819444444445
10,def_notemp_3,0.9401972222222221
11,def_notemp_4,0.9400284722222223
12,def_ptm_not_drop_s_0,0.9400180555555555
13,def_notemp_drop_s_0,0.9399819444444445
14,default_ptm_1,0.9399652777777779
15,original_2,0.9399208333333333
16,def_notemp_drop_nos_1,0.9398854166666667
17,def_notemp_0,0.9398756944444445
18,def_notemp_2,0.9398506944444445
19,def_notemp_1,0.9396340277777777
20,def_ptm_not_drop_nos_3,0.9395430555555555
21,default_seq_temp_3,0.939473611111111
22,default_pdb70_new_2,0.939470138888889
23,def_ptm_drop_nos_2,0.9394312499999999
24,def_esm_msa_ckpt5_0,0.93930625
25,def_drop_s_1,0.939263888888889
26,def_drop_nos_1,0.93924375
27,def_ptm_not_drop_nos_4,0.9391888888888889
28,def_notemp_drop_s_1,0.9391805555555557
29,ori_seq_temp_2,0.9391798611111111
30,def_notemp_drop_s_4,0.9391486111111109
31,original_3,0.9390048611111111
32,def_notemp_drop_nos_3,0.9389069444444446
33,default_seq_temp_0,0.9388527777777779
34,ori_seq_temp_0,0.9386763888888888
35,ori_seq_temp_4,0.9386347222222222
36,def_esm_msa_ckpt5_1,0.9386097222222222
37,def_notemp_drop_s_2,0.9385368055555554
38,colabfold_web_not_2,0.9384104166666667
39,default_1,0.9381979166666665
40,ori_seq_temp_3,0.9380527777777777
41,def_drop_nos_2,0.9379583333333333
42,def_drop_s_0,0.9378375
43,def_ptm_not_drop_s_1,0.9376854166666667
44,def_ptm_not_drop_s_2,0.9375444444444443
45,colabfold_web_3,0.9375125
46,def_drop_nos_0,0.9374881944444444
47,default_seq_temp_4,0.937473611111111
48,default_0,0.9374013888888888
49,original_0,0.9370756944444446
50,def_notemp_drop_nos_0,0.9369354166666667
51,original_1,0.9368131944444446
52,default_seq_temp_2,0.936763888888889
53,colabfold_web_not_0,0.9365416666666666
54,def_ptm_not_drop_nos_1,0.9363944444444444
55,colabfold_web_0,0.9362659722222221
56,def_notemp_drop_nos_4,0.9360618055555556
57,colabfold_web_1,0.9360215277777778
58,def_drop_nos_4,0.9357513888888889
59,ori_seq_temp_1,0.9356180555555554
60,def_ptm_not_drop_s_4,0.9356083333333333
61,default_pdb70_new_3,0.9356048611111112
62,deepmsa_dMSA_hhb_2,0.9355666666666667
63,deepmsa_dMSA_hhb_1,0.9355631944444442
64,def_ptm_notemp_0,0.9354951388888888
65,default_pdb70_new_4,0.9354548611111111
66,default_seq_temp_1,0.935384722222222
67,def_drop_s_4,0.9353756944444443
68,def_drop_s_2,0.9353145833333334
69,def_drop_s_3,0.9352416666666667
70,def_notemp_drop_s_3,0.9352368055555557
71,deepmsa_dMSA_hhb_4,0.9351451388888888
72,deepmsa_dMSA_hhb_0,0.9348979166666666
73,original_4,0.9348888888888889
74,def_ptm_drop_s_0,0.9346409722222222
75,deepmsa_dMSA_hhb_3,0.9344951388888888
76,af3_jian_6,0.9344861111111111
77,deepmsa_dMSA_4,0.9341583333333333
78,default_pdb70_new_1,0.9336979166666666
79,default_pdb70_new_0,0.9335784722222221
80,def_esm_msa_2,0.9335395833333333
81,default_2,0.9334777777777776
82,def_ptm_drop_nos_3,0.9332749999999999
83,deepmsa_dMSA_1,0.933104861111111
84,def_ptm_drop_nos_1,0.9325729166666668
85,def_ptm_notemp_4,0.9324645833333334
86,default_3,0.9323291666666668
87,colabfold_web_2,0.9322986111111113
88,dhr_4,0.9320750000000001
89,dhr_3,0.9318180555555556
90,def_esm_msa_3,0.9317652777777776
91,dhr_2,0.9317340277777776
92,deepmsa_dMSA_3,0.931629861111111
93,def_ptm_notemp_1,0.9314583333333333
94,def_ptm_notemp_2,0.9310319444444445
95,af3_pawan_6,0.9309805555555555
96,def_esm_msa_4,0.9309597222222222
97,def_esm_msa_0,0.9307402777777778
98,dhr_1,0.93045
99,af3_pawan_8,0.9302548611111112
100,dhr_0,0.9302125000000001
101,def_drop_nos_3,0.9301444444444447
102,af3_pawan_3,0.9298958333333334
103,def_ptm_not_drop_nos_0,0.9298131944444444
104,def_ptm_notemp_3,0.9297555555555554
105,af3_jian_9,0.9297402777777778
106,def_ptm_not_drop_nos_2,0.9296152777777777
107,af3_jian_8,0.9291305555555556
108,def_ptm_not_drop_s_3,0.9289243055555555
109,def_esm_msa_1,0.9289111111111112
110,af3_pawan_7,0.9287881944444446
111,colabfold_web_not_3,0.9286145833333335
112,def_ptm_drop_s_3,0.9285215277777777
113,af3_jian_2,0.9284083333333335
114,af3_pawan_9,0.9280826388888889
115,colabfold_web_4,0.9269555555555556
116,af3_jian_3,0.926895138888889
117,af3_jian_4,0.9268548611111113
118,colabfold_web_not_1,0.926723611111111
119,default_ptm_4,0.9263388888888888
120,default_4,0.9260291666666666
121,af3_jian_7,0.9257722222222223
122,colabfold_web_not_4,0.9257347222222221
123,deepmsa_qMSA_0,0.9257340277777778
124,deepmsa_qMSA_1,0.9256041666666667
125,deepmsa_dMSA_0,0.9255645833333332
126,def_ptm_drop_s_4,0.9249694444444445
127,af3_jian_0,0.9247763888888889
128,deepmsa_dMSA_2,0.9242597222222222
129,deepmsa_qMSA_hhb_0,0.92396875
130,af3_jian_5,0.9229854166666667
131,af3_pawan_1,0.9229236111111112
132,af3_pawan_0,0.9227083333333334
133,def_ptm_drop_s_2,0.9220854166666668
134,af3_pawan_4,0.9203388888888888
135,af3_pawan_5,0.9183145833333334
136,af3_pawan_2,0.9182090277777779
