,model,plddt_avg,af3_ranking_score
0,def_ptm_notemp_0.pdb,96.43375470664793,-1
1,def_ptm_notemp_1.pdb,96.42159729645489,-1
2,def_ptm_notemp_3.pdb,96.41203046191507,-1
3,def_ptm_notemp_4.pdb,96.40457782171582,-1
4,def_ptm_notemp_2.pdb,96.30084161197092,-1
5,default_seq_temp_0.pdb,96.17334189555342,-1
6,def_notemp_0.pdb,96.1676240987467,-1
7,default_pdb70_new_0.pdb,96.16739203065997,-1
8,default_seq_temp_1.pdb,96.16613990859011,-1
9,default_seq_temp_2.pdb,96.1552372829154,-1
10,default_seq_temp_3.pdb,96.15330625748132,-1
11,def_ptm_not_drop_nos_0.pdb,96.09010059479442,-1
12,default_pdb70_new_1.pdb,96.08899944117596,-1
13,default_seq_temp_4.pdb,96.08727600180053,-1
14,def_notemp_1.pdb,96.08375229674475,-1
15,def_notemp_2.pdb,96.08259323670562,-1
16,default_pdb70_new_2.pdb,96.0738844822434,-1
17,def_notemp_3.pdb,96.06845389022254,-1
18,default_pdb70_new_3.pdb,96.04987324846152,-1
19,def_notemp_4.pdb,96.04879462855685,-1
20,default_pdb70_new_4.pdb,96.04872295482511,-1
21,def_ptm_not_drop_s_0.pdb,95.99073194917757,-1
22,def_ptm_not_drop_nos_1.pdb,95.88687890166915,-1
23,ori_seq_temp_0.pdb,95.85225946041717,-1
24,def_ptm_not_drop_s_1.pdb,95.83316228806588,-1
25,ori_seq_temp_1.pdb,95.79640857175893,-1
26,ori_seq_temp_2.pdb,95.7783749397194,-1
27,original_0.pdb,95.76573974644322,-1
28,original_1.pdb,95.76236887526676,-1
29,colabfold_web_not_0.pdb,95.75629286489908,-1
30,af3_jian_3.pdb,95.74976348876953,0.94
31,original_2.pdb,95.74803078479789,-1
32,def_notemp_drop_s_0.pdb,95.73452969841563,-1
33,original_3.pdb,95.72747279685271,-1
34,original_4.pdb,95.72155833660037,-1
35,ori_seq_temp_3.pdb,95.71600265412583,-1
36,ori_seq_temp_4.pdb,95.71499980489756,-1
37,def_ptm_not_drop_s_2.pdb,95.71106544682615,-1
38,af3_pawan_9.pdb,95.68250274658203,0.94
39,af3_jian_9.pdb,95.6634521484375,0.94
40,af3_pawan_5.pdb,95.66226196289062,0.94
41,def_ptm_not_drop_s_3.pdb,95.65676816602523,-1
42,af3_pawan_8.pdb,95.64619445800781,0.94
43,def_ptm_not_drop_nos_3.pdb,95.64061462391761,-1
44,def_ptm_not_drop_s_4.pdb,95.63844714165964,-1
45,def_ptm_not_drop_nos_4.pdb,95.63672447558368,-1
46,af3_pawan_2.pdb,95.6354751586914,0.94
47,af3_pawan_7.pdb,95.62059020996094,0.94
48,af3_jian_7.pdb,95.62005615234375,0.94
49,af3_pawan_3.pdb,95.61881256103516,0.94
50,af3_jian_0.pdb,95.60391998291016,0.94
51,colabfold_web_not_1.pdb,95.60245242915096,-1
52,def_notemp_drop_nos_0.pdb,95.57416131167497,-1
53,def_notemp_drop_nos_1.pdb,95.55374200586242,-1
54,af3_pawan_4.pdb,95.52833557128906,0.94
55,af3_pawan_6.pdb,95.50869750976562,0.94
56,af3_jian_1.pdb,95.50511169433594,0.94
57,def_notemp_drop_s_1.pdb,95.48401946124353,-1
58,def_notemp_drop_nos_2.pdb,95.48019039615399,-1
59,def_notemp_drop_s_2.pdb,95.45583999318546,-1
60,def_notemp_drop_nos_3.pdb,95.45568584631845,-1
61,af3_jian_8.pdb,95.451904296875,0.94
62,def_notemp_drop_s_3.pdb,95.43908189758451,-1
63,def_notemp_drop_nos_4.pdb,95.43648647787326,-1
64,af3_jian_5.pdb,95.43119049072266,0.94
65,colabfold_web_0.pdb,95.40959469423117,-1
66,colabfold_web_not_2.pdb,95.40328338320337,-1
67,def_notemp_drop_s_4.pdb,95.40171400116647,-1
68,colabfold_web_1.pdb,95.39828623222604,-1
69,colabfold_web_not_3.pdb,95.38740016071517,-1
70,af3_jian_6.pdb,95.3759536743164,0.94
71,af3_jian_4.pdb,95.37535095214844,0.94
72,colabfold_web_2.pdb,95.37362112495613,-1
73,af3_pawan_1.pdb,95.36048126220703,0.94
74,colabfold_web_not_4.pdb,95.35794492415782,-1
75,colabfold_web_3.pdb,95.34064623848838,-1
