,model,af_plddt_avg,pairwise_gdt,pairwise_tmscore,pairwise_cad_score,pairwise_lddt,enqa,gcpnet_ema,deeprank3_cluster,deeprank3_singleqa,deeprank3_singleqa_lite,gate
0,def_notemp_drop_nos_0,0.9055868,0.8265955974842769,0.8308823899371068,0.8649613962264151,0.8929559748427672,0.8164,0.8455424308776855,0.824847,0.734979,0.777708,0.8727865147590638
1,def_notemp_drop_nos_1,0.90522426,0.8271981132075473,0.8308389937106919,0.8671288113207549,0.8939245283018868,0.8135,0.8447616100311279,0.826404,0.724469,0.773558,0.8710691225528716
2,def_notemp_drop_nos_2,0.90474385,0.8290144654088052,0.8341654088050313,0.8646952641509436,0.8920062893081759,0.8154,0.8456926345825195,0.825085,0.727076,0.768304,0.8731721794605255
3,def_notemp_drop_nos_3,0.90399235,0.8263377358490566,0.8312238993710692,0.8630333144654088,0.892314465408805,0.8115,0.8448554277420044,0.817205,0.701516,0.76546,0.8725037086009978
4,def_notemp_drop_nos_4,0.9028409,0.8192377358490567,0.8240132075471699,0.8594496226415095,0.8879937106918239,0.8096,0.8448727130889893,0.816891,0.725866,0.772844,0.8727653121948242
5,def_notemp_drop_s_0,0.907341,0.8116742138364781,0.8176654088050315,0.8517091194968553,0.8771509433962265,0.82,0.8481507897377014,0.813021,0.72815,0.777962,0.8692506349086762
6,def_notemp_drop_s_1,0.90646183,0.8115610062893083,0.8155528301886792,0.8600061823899371,0.8890943396226414,0.816,0.8463727235794067,0.809498,0.726615,0.772229,0.8723039257526398
7,def_notemp_drop_s_2,0.906232,0.8255245283018867,0.8284207547169813,0.86488913836478,0.892132075471698,0.818,0.846416711807251,0.823252,0.73218,0.77398,0.8738670742511749
8,def_notemp_drop_s_3,0.90534234,0.812545283018868,0.8199943396226415,0.852771647798742,0.8782955974842768,0.8154,0.846958339214325,0.812011,0.736376,0.776451,0.8700779676437378
9,def_notemp_drop_s_4,0.90434945,0.8274672955974842,0.8299679245283019,0.8632281383647797,0.8909056603773583,0.8135,0.8425642251968384,0.819601,0.72105,0.770411,0.8726971065998077
10,def_ptm_drop_nos_0,0.86310905,0.8239805031446541,0.8284855345911949,0.8357652389937109,0.87362893081761,0.76,0.8282512426376343,0.818454,0.726014,0.763379,0.8682164764404299
11,def_ptm_drop_nos_1,0.8472785,0.8230704402515722,0.828817610062893,0.8455091257861634,0.8785723270440252,0.7256,0.820099413394928,0.829478,0.743535,0.794951,0.8654443836212158
12,def_ptm_drop_nos_2,0.8421882,0.817132075471698,0.8216062893081761,0.8488307610062893,0.8839685534591194,0.712,0.8262447118759155,0.819098,0.74642,0.774307,0.8678939259052276
13,def_ptm_drop_nos_3,0.8382646,0.816938364779874,0.8201075471698113,0.8456959119496856,0.8789245283018867,0.7026,0.8156576156616211,0.812513,0.717932,0.778401,0.8631794548034669
14,def_ptm_drop_nos_4,0.8325667,0.8189603773584905,0.8262647798742139,0.83888072327044,0.8700251572327045,0.6987,0.7969887256622314,0.82041,0.736203,0.778146,0.8629413342475891
15,def_ptm_drop_s_0,0.86144376,0.8261484276729559,0.8315138364779876,0.8510038867924529,0.8822578616352201,0.77,0.8301997780799866,0.818119,0.713636,0.767744,0.8686792111396789
