,model,plddt_avg
0,default_seq_temp_0.pdb,92.55381280874835
1,default_seq_temp_1.pdb,92.25822085191741
2,default_seq_temp_2.pdb,91.93697980200949
3,def_notemp_0.pdb,91.91691965157023
4,default_seq_temp_3.pdb,91.89563989451683
5,colabfold_web_0.pdb,91.89431620270649
6,colabfold_web_1.pdb,91.84346837042654
7,default_seq_temp_4.pdb,91.83665937304252
8,colabfold_web_2.pdb,91.71464485341691
9,colabfold_web_not_0.pdb,91.57874638231209
10,def_notemp_1.pdb,91.46191314698298
11,def_notemp_2.pdb,91.41742857616225
12,def_notemp_3.pdb,91.39515269285603
13,def_notemp_4.pdb,91.38333397591288
14,colabfold_web_3.pdb,91.38074904628037
15,colabfold_web_not_1.pdb,91.28724623344624
16,colabfold_web_not_2.pdb,91.10588959824923
17,colabfold_web_not_3.pdb,90.88792691406242
18,colabfold_web_not_4.pdb,90.87570420086647
19,def_ptm_notemp_0.pdb,90.83459304469964
20,colabfold_web_4.pdb,90.80102039238835
21,def_notemp_drop_s_0.pdb,90.73399860985003
22,def_ptm_notemp_1.pdb,90.7138926656832
23,default_pdb70_new_0.pdb,90.70241699855694
24,default_pdb70_new_1.pdb,90.68342112173258
25,def_notemp_drop_s_1.pdb,90.64636120393304
26,def_notemp_drop_s_2.pdb,90.62344402705207
27,def_ptm_notemp_2.pdb,90.55873401784986
28,def_notemp_drop_nos_0.pdb,90.5586737791679
29,def_notemp_drop_s_3.pdb,90.53402553636231
30,def_notemp_drop_nos_1.pdb,90.522719113058
31,default_pdb70_new_2.pdb,90.52104132909916
32,def_notemp_drop_nos_2.pdb,90.47437731859897
33,def_ptm_notemp_3.pdb,90.45871104056833
34,def_notemp_drop_s_4.pdb,90.43446752978915
35,def_ptm_notemp_4.pdb,90.42636598958015
36,def_notemp_drop_nos_3.pdb,90.3995189590517
37,default_pdb70_new_3.pdb,90.33648889246197
38,def_notemp_drop_nos_4.pdb,90.2837082409165
39,default_pdb70_new_4.pdb,90.23447610793893
40,def_ptm_not_drop_s_0.pdb,89.52173381109402
41,default_0.pdb,89.43092742895273
42,def_drop_s_0.pdb,89.26934339003941
43,def_ptm_not_drop_s_1.pdb,89.13128877488224
44,def_ptm_not_drop_s_2.pdb,89.04962265918202
45,ori_seq_temp_0.pdb,88.96647497786753
46,ori_seq_temp_1.pdb,88.95351582006077
47,default_1.pdb,88.91760044388012
48,def_ptm_not_drop_s_3.pdb,88.91033318057384
49,def_drop_s_1.pdb,88.86675877641578
50,ori_seq_temp_2.pdb,88.83974106448252
51,def_ptm_not_drop_nos_0.pdb,88.79250302769246
52,def_ptm_not_drop_nos_1.pdb,88.78988487624974
53,ori_seq_temp_3.pdb,88.74707742293984
54,default_2.pdb,88.73286622166208
55,def_drop_nos_0.pdb,88.70950468565508
56,def_ptm_not_drop_s_4.pdb,88.70553050980953
57,def_esm_msa_ckpt5_0.pdb,88.68797342639444
58,ori_seq_temp_4.pdb,88.6816880600941
59,def_ptm_not_drop_nos_2.pdb,88.58131636614512
60,original_0.pdb,88.37056015003378
61,original_1.pdb,88.16177140795281
62,default_3.pdb,88.0608521150439
63,original_2.pdb,87.89764861703277
64,def_ptm_not_drop_nos_3.pdb,87.87914861250557
65,original_3.pdb,87.86239309185174
66,original_4.pdb,87.76068277864721
67,def_ptm_not_drop_nos_4.pdb,87.55695967454137
68,def_drop_nos_1.pdb,87.4446614198367
69,def_esm_msa_ckpt5_1.pdb,87.30698373172405
70,def_esm_msa_0.pdb,87.2847301314687
71,def_esm_msa_1.pdb,87.00106902853787
72,def_esm_msa_2.pdb,86.92225967058909
