,index,model,score
100,100,deepmsa_DeepJGI_4.pdb,0.778198
101,101,deepmsa_qMSA_0.pdb,0.777986
102,102,deepmsa_q3JGI_2.pdb,0.777983
103,103,deepmsa_q4JGI_3.pdb,0.777922
104,104,deepmsa_q3JGI_1.pdb,0.776674
105,105,af3_pawan_1.pdb,0.776564
106,106,deepmsa_qMSA_3.pdb,0.776028
107,107,deepmsa_q4JGI_2.pdb,0.77553
108,108,deepmsa_DeepJGI_3.pdb,0.775069
109,109,deepmsa_dMSA_1.pdb,0.774925
110,110,deepmsa_q4JGI_0.pdb,0.774806
111,111,deepmsa_dMSA_0.pdb,0.774703
112,112,deepmsa_DeepJGI_2.pdb,0.774513
113,113,deepmsa_DeepJGI_0.pdb,0.774391
114,114,deepmsa_dMSA_4.pdb,0.774346
115,115,deepmsa_dMSA_3.pdb,0.774308
116,116,def_drop_nos_3.pdb,0.77424
117,117,deepmsa_dMSA_jac_2.pdb,0.774203
118,118,deepmsa_dMSA_jac_0.pdb,0.773935
119,119,deepmsa_dMSA_jac_1.pdb,0.773492
120,120,deepmsa_DeepJGI_1.pdb,0.771739
121,121,original_1.pdb,0.770057
122,122,ori_seq_temp_2.pdb,0.769617
123,123,def_esm_msa_4.pdb,0.768932
124,124,def_esm_msa_2.pdb,0.768102
125,125,deepmsa_dMSA_hhb_1.pdb,0.767593
126,126,def_drop_nos_4.pdb,0.767374
127,127,original_3.pdb,0.767347
128,128,def_esm_msa_3.pdb,0.767022
129,129,def_drop_s_3.pdb,0.766511
130,130,def_esm_msa_ckpt5_3.pdb,0.766376
131,131,deepmsa_dMSA_hhb_2.pdb,0.765828
132,132,original_2.pdb,0.764421
133,133,def_esm_msa_0.pdb,0.763898
134,134,af3_pawan_0.pdb,0.763247
135,135,deepmsa_q3JGI_0.pdb,0.762822
136,136,ori_seq_temp_4.pdb,0.762684
137,137,deepmsa_q4JGI_1.pdb,0.762204
138,138,def_esm_msa_1.pdb,0.761727
139,139,def_esm_msa_ckpt5_4.pdb,0.761582
140,140,ori_seq_temp_3.pdb,0.76104
141,141,deepmsa_dMSA_hhb_3.pdb,0.760689
142,142,deepmsa_dMSA_hhb_0.pdb,0.760382
143,143,ori_seq_temp_0.pdb,0.759146
144,144,deepmsa_dMSA_hhb_4.pdb,0.75652
145,145,def_esm_msa_ckpt5_2.pdb,0.73897
146,146,original_0.pdb,0.738018
147,147,def_drop_s_4.pdb,0.737911
148,148,ori_seq_temp_1.pdb,0.729013
149,149,original_4.pdb,0.728614
150,150,dhr_0.pdb,0.713861
151,151,dhr_4.pdb,0.712345
152,152,dhr_3.pdb,0.711723
153,153,dhr_1.pdb,0.711346
154,154,dhr_2.pdb,0.708171
155,155,esmfold_1.pdb,0.683098
156,156,esmfold_3.pdb,0.682665
157,157,esmfold_4.pdb,0.682082
158,158,esmfold_2.pdb,0.681989
159,159,esmfold_0.pdb,0.681799
