,index,model,score
0,0,def_ptm_drop_s_3.pdb,0.835603
1,1,def_drop_s_0.pdb,0.835528
2,2,def_drop_s_2.pdb,0.835028
3,3,default_seq_temp_2.pdb,0.834668
4,4,default_1.pdb,0.834386
5,5,default_4.pdb,0.83418
6,6,def_notemp_drop_nos_2.pdb,0.834165
7,7,def_ptm_not_drop_s_2.pdb,0.833542
8,8,def_drop_nos_1.pdb,0.833222
9,9,colabfold_web_not_0.pdb,0.833126
10,10,def_notemp_1.pdb,0.833104
11,11,def_ptm_not_drop_nos_3.pdb,0.832638
12,12,def_drop_nos_2.pdb,0.832448
13,13,default_ptm_0.pdb,0.832259
14,14,default_ptm_2.pdb,0.831613
15,15,default_ptm_1.pdb,0.831523
16,16,def_ptm_drop_s_0.pdb,0.831514
17,17,def_ptm_notemp_4.pdb,0.831404
18,18,def_notemp_drop_nos_3.pdb,0.831224
19,19,def_ptm_drop_s_4.pdb,0.830951
20,20,def_notemp_drop_nos_0.pdb,0.830882
21,21,def_notemp_drop_nos_1.pdb,0.830839
22,22,colabfold_web_0.pdb,0.83076
23,23,def_notemp_drop_s_4.pdb,0.829968
24,24,default_0.pdb,0.829948
25,25,colabfold_web_1.pdb,0.829813
26,26,colabfold_web_4.pdb,0.829513
27,27,def_ptm_drop_s_2.pdb,0.829507
28,28,default_pdb70_new_1.pdb,0.828961
29,29,def_ptm_drop_nos_1.pdb,0.828818
30,30,def_drop_s_1.pdb,0.828716
31,31,default_pdb70_new_4.pdb,0.828494
32,32,def_ptm_drop_nos_0.pdb,0.828486
33,33,def_notemp_drop_s_2.pdb,0.828421
34,34,def_ptm_notemp_1.pdb,0.828351
35,35,def_esm_msa_ckpt5_0.pdb,0.827763
36,36,default_2.pdb,0.827755
37,37,def_ptm_drop_s_1.pdb,0.82775
38,38,default_ptm_3.pdb,0.827658
39,39,default_pdb70_new_2.pdb,0.827413
40,40,def_ptm_drop_nos_4.pdb,0.826265
41,41,def_ptm_not_drop_nos_2.pdb,0.826246
42,42,default_pdb70_new_3.pdb,0.826092
43,43,def_ptm_notemp_0.pdb,0.825692
44,44,def_drop_nos_0.pdb,0.825618
45,45,colabfold_web_not_3.pdb,0.825407
46,46,colabfold_web_not_4.pdb,0.825348
47,47,def_esm_msa_ckpt5_1.pdb,0.824712
48,48,def_ptm_not_drop_s_3.pdb,0.824461
49,49,default_3.pdb,0.824248
50,50,def_ptm_notemp_3.pdb,0.824246
51,51,def_ptm_not_drop_nos_0.pdb,0.824061
52,52,def_notemp_drop_nos_4.pdb,0.824013
53,53,default_ptm_4.pdb,0.823433
54,54,colabfold_web_not_1.pdb,0.823219
55,55,default_seq_temp_0.pdb,0.823211
56,56,default_seq_temp_1.pdb,0.823106
57,57,def_ptm_not_drop_nos_1.pdb,0.822898
58,58,def_ptm_not_drop_nos_4.pdb,0.822787
59,59,def_notemp_0.pdb,0.82216
60,60,def_notemp_3.pdb,0.821913
61,61,def_notemp_4.pdb,0.821638
62,62,def_ptm_drop_nos_2.pdb,0.821606
63,63,default_pdb70_new_0.pdb,0.821583
64,64,def_ptm_not_drop_s_4.pdb,0.82157
65,65,def_ptm_notemp_2.pdb,0.820643
66,66,def_ptm_drop_nos_3.pdb,0.820108
67,67,def_notemp_drop_s_3.pdb,0.819994
68,68,default_seq_temp_3.pdb,0.819917
69,69,colabfold_web_not_2.pdb,0.819465
70,70,def_notemp_drop_s_0.pdb,0.817665
71,71,def_ptm_not_drop_s_1.pdb,0.817209
72,72,def_ptm_not_drop_s_0.pdb,0.817114
73,73,def_notemp_2.pdb,0.816612
74,74,colabfold_web_2.pdb,0.816503
75,75,default_seq_temp_4.pdb,0.815835
76,76,def_notemp_drop_s_1.pdb,0.815553
77,77,colabfold_web_3.pdb,0.814094
78,78,af3_jian_2.pdb,0.812303
79,79,af3_pawan_4.pdb,0.809091
80,80,af3_jian_0.pdb,0.808178
81,81,af3_pawan_2.pdb,0.79788
82,82,af3_pawan_3.pdb,0.795201
83,83,af3_jian_1.pdb,0.794996
84,84,af3_jian_3.pdb,0.792411
85,85,af3_jian_4.pdb,0.79166
86,86,deepmsa_dMSA_jac_3.pdb,0.782416
87,87,deepmsa_dMSA_2.pdb,0.781831
88,88,deepmsa_dMSA_jac_4.pdb,0.781106
89,89,deepmsa_qMSA_hhb_0.pdb,0.780911
90,90,deepmsa_qMSA_hhb_4.pdb,0.780472
91,91,deepmsa_qMSA_hhb_3.pdb,0.780319
92,92,deepmsa_qMSA_hhb_1.pdb,0.780026
93,93,deepmsa_qMSA_hhb_2.pdb,0.779928
94,94,deepmsa_qMSA_1.pdb,0.779855
95,95,deepmsa_q3JGI_3.pdb,0.779698
96,96,deepmsa_q4JGI_4.pdb,0.778958
97,97,deepmsa_q3JGI_4.pdb,0.778945
98,98,deepmsa_qMSA_2.pdb,0.778447
99,99,deepmsa_qMSA_4.pdb,0.778275
