,model,plddt_avg,af3_ranking_score
0,af3_jian_0.pdb,89.8864974975586,0.85
1,af3_pawan_0.pdb,89.23067474365234,0.84
2,af3_pawan_3.pdb,89.15608978271484,0.83
3,af3_jian_2.pdb,88.99559020996094,0.84
4,af3_jian_8.pdb,88.91566467285156,0.83
5,af3_pawan_2.pdb,88.79065704345703,0.84
6,af3_pawan_1.pdb,88.78733825683594,0.84
7,af3_pawan_4.pdb,88.66233825683594,0.83
8,af3_jian_6.pdb,88.66000366210938,0.83
9,af3_jian_7.pdb,88.65274810791016,0.83
10,af3_jian_1.pdb,88.5875015258789,0.84
11,af3_pawan_5.pdb,88.49567413330078,0.83
12,af3_pawan_9.pdb,88.48648834228516,0.83
13,af3_jian_5.pdb,88.45899963378906,0.83
14,af3_jian_4.pdb,88.39399719238281,0.83
15,af3_pawan_8.pdb,88.3915023803711,0.83
16,af3_pawan_7.pdb,88.3673324584961,0.83
17,af3_pawan_6.pdb,88.29150390625,0.83
18,colabfold_web_not_0.pdb,88.02599089611495,-1.0
19,deepmsa_qMSA_hms_0.pdb,87.78346135459736,-1.0
20,deepmsa_qMSA_0.pdb,87.75393306489886,-1.0
21,af3_jian_9.pdb,87.74400329589844,0.83
22,af3_jian_3.pdb,87.67733001708984,0.84
23,deepmsa_qMSA_jac_0.pdb,87.5672737875179,-1.0
24,dhr_0.pdb,87.22776297379122,-1.0
25,dhr_1.pdb,87.13592634194269,-1.0
26,default_pdb70_new_0.pdb,87.12935499119655,-1.0
27,original_0.pdb,87.09865902443447,-1.0
28,def_esm_msa_0.pdb,87.08791629292712,-1.0
29,original_1.pdb,86.91045714020768,-1.0
30,def_ptm_notemp_0.pdb,86.90752026795818,-1.0
31,deepmsa_dMSA_hms_0.pdb,86.893796043661,-1.0
32,original_2.pdb,86.8108592461219,-1.0
33,def_ptm_notemp_1.pdb,86.79731800698346,-1.0
34,def_ptm_notemp_2.pdb,86.78872859952217,-1.0
35,deepmsa_q4JGI_0.pdb,86.74222781465105,-1.0
36,def_ptm_notemp_3.pdb,86.73852093411854,-1.0
37,def_ptm_notemp_4.pdb,86.73566189773743,-1.0
38,deepmsa_qMSA_hh3_0.pdb,86.63627193905134,-1.0
39,dhr_2.pdb,86.62881734004164,-1.0
40,dhr_3.pdb,86.61469006969932,-1.0
41,ori_seq_temp_0.pdb,86.60415641381651,-1.0
42,ori_seq_temp_1.pdb,86.54416608760403,-1.0
43,def_esm_msa_1.pdb,86.52389150201363,-1.0
44,def_notemp_drop_nos_0.pdb,86.49843526824634,-1.0
45,def_notemp_0.pdb,86.47335894429834,-1.0
46,deepmsa_qMSA_hh3_1.pdb,86.45434439412101,-1.0
47,colabfold_web_not_1.pdb,86.42336260083025,-1.0
48,def_esm_msa_2.pdb,86.42194208331135,-1.0
49,default_pdb70_new_1.pdb,86.34287575615636,-1.0
50,def_notemp_1.pdb,86.33676289362062,-1.0
51,def_esm_msa_3.pdb,86.29119437334893,-1.0
52,def_esm_msa_4.pdb,86.25633434749588,-1.0
53,deepmsa_q3JGI_0.pdb,86.20306444405558,-1.0
54,dhr_4.pdb,86.20294910734589,-1.0
55,default_pdb70_new_2.pdb,86.19496616195038,-1.0
56,colabfold_web_0.pdb,86.18853913792934,-1.0
57,original_3.pdb,86.18241845551299,-1.0
58,deepmsa_q3JGI_1.pdb,86.14338916685914,-1.0
59,def_notemp_2.pdb,86.09770859954659,-1.0
60,default_seq_temp_0.pdb,86.0803005672105,-1.0
61,original_4.pdb,86.05467557262251,-1.0
62,def_ptm_not_drop_nos_0.pdb,86.03078415155294,-1.0
