,model,score
0,ori_seq_temp_1,0.9148693121693122
1,default_seq_temp_3,0.9145698412698413
2,default_pdb70_new_3,0.9141529100529101
3,def_notemp_2,0.9135412698412698
4,def_notemp_0,0.913511111111111
5,default_pdb70_new_0,0.9132507936507936
6,default_seq_temp_1,0.9130756613756614
7,default_seq_temp_2,0.9115169312169312
8,def_notemp_1,0.9112026455026453
9,default_pdb70_new_2,0.9110005291005291
10,default_pdb70_new_4,0.9108666666666666
11,default_seq_temp_4,0.9107867724867725
12,def_notemp_drop_s_4,0.9103714285714286
13,def_notemp_3,0.9102925925925925
14,def_notemp_4,0.9102724867724867
15,def_esm_msa_3,0.9102666666666669
16,original_4,0.910246031746032
17,def_notemp_drop_nos_2,0.9101084656084655
18,original_1,0.9094978835978836
19,def_esm_msa_0,0.9087582010582013
20,default_3,0.9084698412698412
21,def_drop_nos_3,0.9081624338624338
22,def_esm_msa_4,0.9078227513227515
23,dhr_3,0.9077835978835979
24,def_drop_s_1,0.9076544973544973
25,default_pdb70_new_1,0.907184126984127
26,dhr_4,0.9067925925925926
27,default_seq_temp_0,0.9066925925925926
28,original_0,0.9064349206349207
29,default_1,0.9060999999999999
30,default_4,0.9057137566137565
31,dhr_2,0.905688888888889
32,def_esm_msa_2,0.905574603174603
33,colabfold_web_1,0.9053095238095238
34,dhr_1,0.9052867724867725
35,default_2,0.9050148148148148
36,ori_seq_temp_0,0.9043968253968254
37,def_drop_nos_4,0.9038656084656085
38,ori_seq_temp_2,0.9034052910052911
39,default_0,0.9028439153439153
40,ori_seq_temp_4,0.9028269841269841
41,def_drop_nos_1,0.9023269841269842
42,ori_seq_temp_3,0.9017873015873017
43,def_notemp_drop_s_2,0.9015005291005291
44,default_ptm_4,0.9012317460317462
45,def_drop_s_0,0.9008544973544974
46,def_notemp_drop_s_3,0.9007190476190475
47,def_notemp_drop_s_0,0.9006597883597885
48,deepmsa_dMSA_1,0.9003264550264551
49,dhr_0,0.899405291005291
50,def_esm_msa_1,0.8993201058201058
51,def_drop_nos_0,0.8986037037037039
52,def_drop_s_4,0.8984624338624337
53,colabfold_web_not_1,0.8976724867724868
54,def_drop_s_3,0.8976523809523811
55,original_2,0.8974650793650794
56,def_notemp_drop_nos_1,0.8956132275132277
57,def_ptm_drop_nos_0,0.895358201058201
58,colabfold_web_3,0.8946560846560847
59,original_3,0.8943968253968252
60,def_ptm_drop_nos_3,0.894236507936508
61,colabfold_web_2,0.893811111111111
62,def_drop_nos_2,0.8937253968253968
63,colabfold_web_0,0.8934132275132275
64,deepmsa_DeepJGI_1,0.8932941798941799
65,deepmsa_dMSA_3,0.8922597883597884
66,deepmsa_dMSA_hms_4,0.8919343915343915
67,default_ptm_2,0.8917751322751323
68,def_drop_s_2,0.8912153439153438
69,def_notemp_drop_nos_0,0.8905195767195767
70,colabfold_web_not_2,0.8889603174603176
71,colabfold_web_not_4,0.8879645502645502
72,deepmsa_dMSA_jac_3,0.8876534391534392
73,def_ptm_drop_nos_4,0.8871074074074073
74,def_ptm_not_drop_s_4,0.8867100529100528
75,def_notemp_drop_nos_4,0.8865513227513228
76,deepmsa_DeepJGI_0,0.8863407407407408
77,colabfold_web_4,0.8856264550264551
78,deepmsa_qMSA_hh3_0,0.8855989417989417
79,deepmsa_qMSA_4,0.8855121693121691
80,deepmsa_qMSA_hh3_2,0.8851507936507936
81,colabfold_web_not_3,0.8841507936507939
82,deepmsa_q4JGI_0,0.8836285714285715
83,def_ptm_drop_s_0,0.8828740740740741
84,deepmsa_qMSA_1,0.8824682539682539
85,def_ptm_drop_nos_2,0.882241798941799
86,deepmsa_dMSA_0,0.8814137566137565
87,deepmsa_qMSA_hhb_0,0.8806137566137566
88,deepmsa_qMSA_hh3_3,0.8804941798941799
89,deepmsa_q4JGI_3,0.880067724867725
90,deepmsa_qMSA_hhb_1,0.8795079365079366
91,af3_jian_5,0.8794772486772487
92,def_notemp_drop_s_1,0.8794079365079365
93,colabfold_web_not_0,0.8790137566137566
94,deepmsa_qMSA_hh3_1,0.8789592592592592
95,default_ptm_0,0.8789301587301587
96,deepmsa_qMSA_3,0.8787465608465609
97,deepmsa_dMSA_hms_0,0.8762835978835978
98,deepmsa_qMSA_0,0.8757640211640211
99,deepmsa_qMSA_2,0.8753587301587302
100,deepmsa_q4JGI_1,0.8745767195767197
101,deepmsa_qMSA_hh3_4,0.8733862433862434
102,deepmsa_q4JGI_2,0.8731507936507937
103,def_ptm_not_drop_s_3,0.8727095238095237
104,deepmsa_q3JGI_0,0.8722931216931218
105,deepmsa_qMSA_hhb_3,0.8709687830687832
106,deepmsa_DeepJGI_hms_1,0.870521693121693
107,deepmsa_dMSA_hms_1,0.8702592592592593
108,deepmsa_dMSA_jac_0,0.8702402116402117
109,deepmsa_DeepJGI_2,0.869815343915344
110,def_ptm_not_drop_nos_4,0.8693925925925926
111,deepmsa_q4JGI_4,0.8687830687830688
112,deepmsa_qMSA_hhb_2,0.8681164021164022
113,deepmsa_qMSA_hhb_4,0.868057671957672
114,af3_jian_9,0.8678592592592592
115,default_ptm_3,0.8669783068783069
116,deepmsa_dMSA_jac_1,0.8666417989417989
117,deepmsa_DeepJGI_hms_4,0.8655312169312169
118,def_esm_msa_ckpt5_4,0.864996296296296
119,def_ptm_not_drop_nos_2,0.8635830687830688
120,def_esm_msa_ckpt5_1,0.8601931216931219
121,def_esm_msa_ckpt5_3,0.8599989417989418
122,af3_pawan_1,0.8594507936507937
123,def_esm_msa_ckpt5_0,0.8576809523809523
124,def_ptm_not_drop_nos_1,0.8571571428571428
125,af3_pawan_8,0.8566888888888888
126,default_ptm_1,0.8563253968253968
127,af3_jian_1,0.8562798941798943
128,def_ptm_drop_s_2,0.8555492063492064
129,def_ptm_notemp_2,0.8541322751322751
130,deepmsa_dMSA_hms_2,0.8540539682539683
131,af3_jian_4,0.8528455026455027
132,af3_pawan_7,0.8507142857142855
133,def_ptm_not_drop_nos_0,0.8503407407407408
134,af3_pawan_5,0.8501656084656083
135,def_ptm_notemp_1,0.8500867724867726
136,def_ptm_drop_nos_1,0.8500814814814813
137,deepmsa_dMSA_4,0.8494656084656084
138,def_esm_msa_ckpt5_2,0.8489624338624338
139,af3_pawan_6,0.8488243386243386
140,deepmsa_q3JGI_3,0.8474402116402117
141,af3_jian_0,0.8470142857142857
142,def_ptm_notemp_3,0.8454492063492063
143,af3_jian_3,0.84539417989418
144,def_ptm_drop_s_4,0.8451179894179893
145,deepmsa_DeepJGI_3,0.8448597883597883
146,deepmsa_dMSA_hms_3,0.8436386243386244
147,deepmsa_q3JGI_hms_0,0.8428666666666668
148,def_ptm_notemp_4,0.8428021164021164
149,def_ptm_not_drop_s_1,0.8402666666666667
150,def_ptm_notemp_0,0.840089417989418
151,af3_jian_7,0.8399449735449738
152,def_ptm_drop_s_1,0.8392619047619048
153,deepmsa_DeepJGI_4,0.8383391534391534
154,af3_pawan_9,0.8368550264550264
155,deepmsa_DeepJGI_hms_3,0.8366629629629629
156,def_notemp_drop_nos_3,0.8366232804232805
157,af3_pawan_3,0.8363719576719576
158,af3_jian_8,0.8359349206349208
159,af3_pawan_0,0.8358338624338625
160,def_ptm_drop_s_3,0.8348798941798943
161,af3_jian_6,0.8330132275132276
162,af3_jian_2,0.831167724867725
163,def_ptm_not_drop_nos_3,0.8304751322751323
164,deepmsa_dMSA_2,0.8299730158730158
165,deepmsa_dMSA_hhb_1,0.8295761904761905
166,af3_pawan_4,0.827515873015873
167,def_ptm_not_drop_s_2,0.8254809523809523
168,deepmsa_DeepJGI_hms_2,0.8231476190476191
169,def_ptm_not_drop_s_0,0.8226719576719578
170,deepmsa_DeepJGI_hms_0,0.8216047619047618
171,deepmsa_dMSA_hhb_0,0.8211804232804233
