,model,plddt_avg,af3_ranking_score
0,def_dom_parser_0.pdb,92.0326807979565,-1
1,def_dom_parser_1.pdb,92.02617414914,-1
2,def_dom_parser_2.pdb,92.0244454248356,-1
3,def_dom_parser_3.pdb,92.01267831769486,-1
4,def_dom_parser_4.pdb,92.00963481905195,-1
5,def_dom_manual_0.pdb,91.95814801872088,-1
6,ori_seq_temp_0.pdb,91.95001410375025,-1
7,ori_seq_temp_1.pdb,91.93736823787064,-1
8,def_dom_manual_1.pdb,91.91443971365604,-1
9,original_0.pdb,91.90025126393259,-1
10,def_dom_manual_2.pdb,91.89097942486653,-1
11,ori_seq_temp_2.pdb,91.88054987707578,-1
12,def_dom_manual_3.pdb,91.88034713781126,-1
13,def_dom_manual_4.pdb,91.87551924442927,-1
14,def_dom_hhsearch_0.pdb,91.8701132781642,-1
15,def_dom_unidoc_0.pdb,91.83831219162953,-1
16,original_1.pdb,91.83706595397585,-1
17,colabfold_web_not_0.pdb,91.83696930004957,-1
18,def_dom_hhsearch_1.pdb,91.83332124426185,-1
19,def_dom_hhsearch_2.pdb,91.83169006426297,-1
20,def_dom_unidoc_1.pdb,91.83032618013593,-1
21,ori_seq_temp_3.pdb,91.82943062386157,-1
22,original_2.pdb,91.82577127007967,-1
23,def_dom_hhsearch_3.pdb,91.81660061732867,-1
24,original_3.pdb,91.81657050451481,-1
25,original_4.pdb,91.81513965466627,-1
26,def_dom_hhsearch_4.pdb,91.80570228133854,-1
27,ori_seq_temp_4.pdb,91.79206221041196,-1
28,def_dom_unidoc_2.pdb,91.78257384648096,-1
29,colabfold_web_not_1.pdb,91.7673348215285,-1
30,colabfold_web_not_2.pdb,91.75753123678122,-1
31,def_dom_unidoc_3.pdb,91.72163089146281,-1
32,deepmsa_qMSA_hhb_0.pdb,91.71870936015995,-1
33,colabfold_web_not_3.pdb,91.71489349825399,-1
34,colabfold_web_not_4.pdb,91.71336675361748,-1
35,def_dom_unidoc_4.pdb,91.71210644494953,-1
36,deepmsa_qMSA_hhb_1.pdb,91.70141043389252,-1
37,colabfold_web_0.pdb,91.68426963879412,-1
38,colabfold_web_1.pdb,91.67382126131182,-1
39,colabfold_web_2.pdb,91.65969888630495,-1
40,colabfold_web_3.pdb,91.65571338182684,-1
41,colabfold_web_4.pdb,91.6491102954262,-1
42,deepmsa_qMSA_hhb_2.pdb,91.63382222246995,-1
43,deepmsa_qMSA_hhb_3.pdb,91.62664905502108,-1
