,model,af_plddt_avg,pairwise_gdt,pairwise_tmscore,pairwise_cad_score,pairwise_lddt,enqa,gcpnet_ema,deeprank3_cluster,deeprank3_singleqa,deeprank3_singleqa_lite,gate
0,default_seq_temp_0,0.9033791,0.8940481481481481,0.9066925925925926,0.9198622698412698,0.9655925925925926,0.8257,0.810468852519989,0.876663,0.769783,0.775691,0.8739101839065551
1,default_seq_temp_1,0.9020011,0.9030116402116402,0.9130756613756614,0.9200095767195766,0.966089947089947,0.8247,0.8097264766693115,0.880215,0.765828,0.770509,0.8780002093315125
2,default_seq_temp_2,0.9019282,0.9003195767195767,0.9115169312169312,0.9196593650793649,0.9656560846560845,0.824,0.8085556626319885,0.878247,0.766237,0.770546,0.8766214835643769
3,default_seq_temp_3,0.90105754,0.9039111111111111,0.9145698412698413,0.9235694814814814,0.9678306878306879,0.8237,0.8091433644294739,0.886365,0.76416,0.774056,0.8789761638641357
4,default_seq_temp_4,0.90067005,0.8999518518518518,0.9107867724867725,0.9270602645502646,0.9688412698412698,0.8247,0.8098956942558289,0.882449,0.767544,0.778596,0.8757929611206056
5,dhr_0,0.89568615,0.8895671957671957,0.899405291005291,0.921128275132275,0.9673121693121693,0.8203,0.804699182510376,0.872848,0.762543,0.77043,0.8748512029647827
6,dhr_1,0.8942988,0.8941269841269842,0.9052867724867725,0.9205799788359789,0.9668042328042327,0.8154,0.8021968603134155,0.878675,0.768727,0.774104,0.874879435300827
7,dhr_2,0.8931528,0.8933359788359786,0.905688888888889,0.9172622169312169,0.9647619047619046,0.8174,0.804214358329773,0.875507,0.758696,0.7687,0.8694804143905639
8,dhr_3,0.8927934,0.8952999999999999,0.9077835978835979,0.9200083227513227,0.9666243386243386,0.818,0.8025298118591309,0.880751,0.764952,0.769082,0.8717731654644012
9,dhr_4,0.8923689,0.8950391534391534,0.9067925925925926,0.9156464074074074,0.9630317460317459,0.8174,0.8054706454277039,0.87841,0.760674,0.772415,0.8708733189105986
10,ori_seq_temp_0,0.8893796,0.8921915343915345,0.9043968253968254,0.925723052910053,0.9691481481481481,0.817,0.802107036113739,0.877155,0.771536,0.774598,0.8798615884780883
11,ori_seq_temp_1,0.8885947,0.904320634920635,0.9148693121693122,0.9247970476190478,0.9685873015873016,0.816,0.8008854985237122,0.882902,0.760905,0.772728,0.8775847935676575
12,ori_seq_temp_2,0.887758,0.891010052910053,0.9034052910052911,0.9250719259259259,0.9686931216931217,0.815,0.7997280955314636,0.874218,0.765451,0.771819,0.8815770578384399
13,ori_seq_temp_3,0.88754135,0.8895243386243388,0.9017873015873017,0.923153052910053,0.9679947089947091,0.8164,0.8016749620437622,0.870714,0.758919,0.769627,0.8797536730766297
14,ori_seq_temp_4,0.8875072,0.8918439153439154,0.9028269841269841,0.9245277777777777,0.9686878306878307,0.817,0.8005067706108093,0.873055,0.770331,0.769882,0.8824755072593689
15,original_0,0.8881575,0.8937333333333334,0.9064349206349207,0.9264424761904764,0.9696349206349206,0.8164,0.800288200378418,0.876091,0.766251,0.774679,0.87949742436409
16,original_1,0.8881293,0.8986190476190477,0.9094978835978836,0.9225040105820105,0.9663544973544974,0.816,0.7998244166374207,0.875686,0.756683,0.766172,0.8769106101989745
17,original_2,0.88794017,0.8911095238095237,0.8974650793650794,0.9238973968253967,0.9683862433862432,0.8154,0.801302969455719,0.870703,0.767307,0.768313,0.8840137386322022
18,original_3,0.88763946,0.8829116402116401,0.8943968253968252,0.9239990264550265,0.9683492063492062,0.8154,0.7992839813232422,0.866444,0.762115,0.77308,0.8808742713928222
19,original_4,0.88754016,0.9000682539682541,0.910246031746032,0.9218293227513229,0.9667037037037036,0.8154,0.7982644438743591,0.88134,0.76718,0.769074,0.8793929219245911
