,index,model,score
0,0,def_notemp_2.pdb,0.950287
1,1,default_pdb70_new_4.pdb,0.950208
2,2,default_seq_temp_3.pdb,0.949595
3,3,def_notemp_drop_s_4.pdb,0.949525
4,4,def_esm_msa_ckpt5_3.pdb,0.949495
5,5,default_seq_temp_0.pdb,0.94924
6,6,def_notemp_1.pdb,0.949038
7,7,def_dom_hhsearch_3.pdb,0.948856
8,8,def_dom_hhsearch_2.pdb,0.948764
9,9,def_notemp_0.pdb,0.948705
10,10,default_pdb70_new_0.pdb,0.948596
11,11,def_dom_hhsearch_0.pdb,0.94858
12,12,def_notemp_drop_s_2.pdb,0.948531
13,13,def_esm_msa_0.pdb,0.948487
14,14,default_pdb70_new_3.pdb,0.948368
15,15,def_drop_nos_2.pdb,0.948136
16,16,def_dom_manual_2.pdb,0.948136
17,17,default_pdb70_new_2.pdb,0.948123
18,18,default_seq_temp_1.pdb,0.948075
19,19,def_drop_nos_3.pdb,0.948032
20,20,original_3.pdb,0.947995
21,21,def_dom_manual_3.pdb,0.947994
22,22,ori_seq_temp_2.pdb,0.94794
23,23,def_drop_nos_1.pdb,0.947842
24,24,def_notemp_drop_s_3.pdb,0.947768
25,25,def_esm_msa_ckpt5_4.pdb,0.947603
26,26,ori_seq_temp_0.pdb,0.947516
27,27,def_notemp_drop_nos_2.pdb,0.947371
28,28,def_drop_s_1.pdb,0.947319
29,29,def_notemp_drop_nos_3.pdb,0.947239
30,30,original_2.pdb,0.947059
31,31,def_esm_msa_2.pdb,0.946949
32,32,def_esm_msa_4.pdb,0.946699
33,33,deepmsa_q4JGI_hms_4.pdb,0.946652
34,34,def_dom_unidoc_4.pdb,0.946612
35,35,def_dom_manual_4.pdb,0.946394
36,36,default_seq_temp_4.pdb,0.946342
37,37,deepmsa_q4JGI_1.pdb,0.946337
38,38,def_drop_nos_4.pdb,0.946254
39,39,dhr_3.pdb,0.946163
40,40,def_notemp_drop_nos_1.pdb,0.945983
41,41,deepmsa_q4JGI_2.pdb,0.945931
42,42,def_drop_s_2.pdb,0.945874
43,43,default_0.pdb,0.945817
44,44,deepmsa_q4JGI_hms_1.pdb,0.945774
45,45,deepmsa_q4JGI_hms_0.pdb,0.94576
46,46,def_esm_msa_ckpt5_0.pdb,0.945708
47,47,original_0.pdb,0.945674
48,48,def_notemp_drop_s_1.pdb,0.945636
49,49,def_esm_msa_ckpt5_2.pdb,0.945567
50,50,default_pdb70_new_1.pdb,0.945532
51,51,deepmsa_q4JGI_4.pdb,0.945494
52,52,deepmsa_q4JGI_hms_2.pdb,0.945485
53,53,default_seq_temp_2.pdb,0.945415
54,54,def_notemp_4.pdb,0.94517
55,55,def_notemp_drop_nos_0.pdb,0.945155
56,56,deepmsa_q4JGI_hms_3.pdb,0.945152
57,57,default_4.pdb,0.945115
58,58,def_dom_unidoc_3.pdb,0.945058
59,59,original_1.pdb,0.945013
60,60,dhr_4.pdb,0.944975
61,61,def_dom_parser_3.pdb,0.944804
62,62,def_drop_s_3.pdb,0.944625
63,63,def_ptm_not_drop_nos_3.pdb,0.944522
64,64,def_dom_manual_1.pdb,0.944497
65,65,def_esm_msa_ckpt5_1.pdb,0.944446
