,index,model,score
66,66,dhr_1.pdb,0.944398
67,67,def_dom_unidoc_2.pdb,0.94435
68,68,def_dom_manual_0.pdb,0.944207
69,69,def_esm_msa_1.pdb,0.94413
70,70,dmsa_dom_manual_1.pdb,0.944116
71,71,default_3.pdb,0.943992
72,72,deepmsa_q4JGI_0.pdb,0.943852
73,73,def_notemp_drop_s_0.pdb,0.943804
74,74,def_notemp_drop_nos_4.pdb,0.94349
75,75,default_2.pdb,0.943468
76,76,def_dom_unidoc_1.pdb,0.943232
77,77,dmsa_dom_manual_4.pdb,0.943057
78,78,default_ptm_1.pdb,0.942971
79,79,def_ptm_drop_s_3.pdb,0.942831
80,80,def_dom_hhsearch_4.pdb,0.942827
81,81,dhr_0.pdb,0.942764
82,82,dmsa_dom_hhsearch_2.pdb,0.942721
83,83,colabfold_web_4.pdb,0.942686
84,84,def_ptm_notemp_2.pdb,0.942607
85,85,def_dom_hhsearch_1.pdb,0.94259
86,86,def_esm_msa_3.pdb,0.942588
87,87,def_dom_unidoc_0.pdb,0.94245
88,88,def_ptm_drop_nos_3.pdb,0.942298
89,89,default_1.pdb,0.942233
90,90,ori_seq_temp_4.pdb,0.94222
91,91,ori_seq_temp_1.pdb,0.942004
92,92,colabfold_web_0.pdb,0.941633
93,93,def_dom_parser_0.pdb,0.941585
94,94,colabfold_web_not_3.pdb,0.941546
95,95,colabfold_web_2.pdb,0.941373
96,96,def_notemp_3.pdb,0.941268
97,97,dmsa_dom_hhsearch_4.pdb,0.941189
98,98,def_ptm_notemp_3.pdb,0.941184
99,99,def_ptm_notemp_0.pdb,0.941133
100,100,dmsa_dom_hhsearch_1.pdb,0.941096
101,101,deepmsa_q4JGI_3.pdb,0.941068
102,102,original_4.pdb,0.941014
103,103,dmsa_dom_unidoc_2.pdb,0.940796
104,104,ori_seq_temp_3.pdb,0.940536
105,105,colabfold_web_not_0.pdb,0.940466
106,106,def_ptm_notemp_1.pdb,0.940445
107,107,dmsa_dom_unidoc_1.pdb,0.940445
108,108,colabfold_web_1.pdb,0.940397
109,109,colabfold_web_not_1.pdb,0.940342
110,110,def_ptm_not_drop_s_4.pdb,0.940299
111,111,dmsa_dom_parser_2.pdb,0.940292
112,112,dmsa_dom_hhsearch_3.pdb,0.940162
113,113,colabfold_web_3.pdb,0.940159
114,114,def_drop_s_4.pdb,0.940002
115,115,def_ptm_not_drop_s_3.pdb,0.939816
116,116,dhr_2.pdb,0.939799
117,117,dmsa_dom_manual_2.pdb,0.939735
118,118,def_ptm_drop_s_1.pdb,0.939732
119,119,dmsa_dom_unidoc_3.pdb,0.939595
120,120,dmsa_dom_manual_0.pdb,0.939541
121,121,colabfold_web_not_2.pdb,0.939506
122,122,dmsa_dom_parser_4.pdb,0.939501
123,123,dmsa_dom_parser_0.pdb,0.939379
124,124,def_dom_parser_1.pdb,0.939353
125,125,colabfold_web_not_4.pdb,0.939346
126,126,def_ptm_notemp_4.pdb,0.939265
127,127,dmsa_dom_unidoc_4.pdb,0.939083
128,128,def_ptm_drop_nos_1.pdb,0.938972
129,129,dmsa_dom_parser_3.pdb,0.938663
130,130,default_ptm_2.pdb,0.938639
131,131,def_dom_parser_2.pdb,0.938425
132,132,def_drop_s_0.pdb,0.938424
133,133,def_ptm_not_drop_nos_0.pdb,0.938389
134,134,dmsa_dom_hhsearch_0.pdb,0.938378
135,135,default_ptm_0.pdb,0.938228
136,136,default_ptm_3.pdb,0.937765
137,137,dmsa_dom_unidoc_0.pdb,0.937617
138,138,dmsa_dom_parser_1.pdb,0.937
139,139,def_dom_parser_4.pdb,0.93695
140,140,def_drop_nos_0.pdb,0.936879
141,141,def_ptm_drop_s_0.pdb,0.936697
142,142,def_ptm_not_drop_nos_2.pdb,0.936386
143,143,dmsa_dom_manual_3.pdb,0.936326
144,144,def_ptm_drop_nos_2.pdb,0.936253
145,145,def_ptm_not_drop_s_2.pdb,0.936099
146,146,def_ptm_not_drop_s_0.pdb,0.936076
147,147,af3_jian_3.pdb,0.935813
148,148,def_ptm_not_drop_nos_4.pdb,0.935499
149,149,deepmsa_dMSA_hhb_2.pdb,0.935167
150,150,def_ptm_not_drop_s_1.pdb,0.935045
151,151,af3_jian_7.pdb,0.934963
152,152,deepmsa_q3JGI_2.pdb,0.934953
153,153,af3_pawan_5.pdb,0.934837
154,154,af3_jian_8.pdb,0.934762
155,155,def_ptm_drop_s_2.pdb,0.934635
156,156,deepmsa_dMSA_hhb_1.pdb,0.934292
157,157,af3_jian_5.pdb,0.934215
158,158,deepmsa_dMSA_hhb_4.pdb,0.93413
159,159,af3_jian_0.pdb,0.933863
160,160,af3_jian_6.pdb,0.933795
161,161,def_ptm_drop_s_4.pdb,0.933742
162,162,default_ptm_4.pdb,0.93366
163,163,deepmsa_dMSA_hhb_0.pdb,0.93359
164,164,deepmsa_dMSA_hhb_3.pdb,0.933507
165,165,af3_jian_9.pdb,0.933033
166,166,af3_pawan_6.pdb,0.933011
167,167,deepmsa_qMSA_hhb_2.pdb,0.932999
168,168,def_ptm_drop_nos_0.pdb,0.932962
169,169,af3_pawan_9.pdb,0.932748
170,170,deepmsa_q3JGI_hms_3.pdb,0.932541
171,171,deepmsa_qMSA_hhb_3.pdb,0.932538
172,172,deepmsa_q3JGI_hms_2.pdb,0.932363
173,173,deepmsa_qMSA_hhb_4.pdb,0.93221
174,174,af3_jian_4.pdb,0.932109
175,175,af3_jian_1.pdb,0.932022
176,176,af3_pawan_4.pdb,0.931982
177,177,af3_pawan_2.pdb,0.931673
178,178,af3_pawan_7.pdb,0.931664
179,179,af3_pawan_0.pdb,0.93143
180,180,af3_jian_2.pdb,0.931157
181,181,deepmsa_q3JGI_4.pdb,0.931031
182,182,deepmsa_dMSA_jac_3.pdb,0.930852
183,183,def_ptm_drop_nos_4.pdb,0.930473
184,184,deepmsa_dMSA_jac_2.pdb,0.930167
185,185,af3_pawan_3.pdb,0.930111
186,186,deepmsa_q3JGI_3.pdb,0.93003
187,187,deepmsa_q3JGI_1.pdb,0.929935
188,188,deepmsa_dMSA_2.pdb,0.929414
189,189,af3_pawan_8.pdb,0.928972
190,190,deepmsa_dMSA_hms_0.pdb,0.928862
191,191,deepmsa_qMSA_hhb_1.pdb,0.928779
192,192,deepmsa_dMSA_hms_2.pdb,0.928732
193,193,deepmsa_q3JGI_hms_1.pdb,0.928563
194,194,deepmsa_qMSA_hhb_0.pdb,0.92814
195,195,def_ptm_not_drop_nos_1.pdb,0.92769
196,196,deepmsa_DeepJGI_2.pdb,0.92758
197,197,deepmsa_dMSA_hms_1.pdb,0.927285
198,198,deepmsa_dMSA_hms_3.pdb,0.927238
199,199,deepmsa_dMSA_3.pdb,0.927113
200,200,deepmsa_dMSA_jac_0.pdb,0.926795
201,201,deepmsa_q3JGI_0.pdb,0.926568
202,202,deepmsa_DeepJGI_1.pdb,0.926439
203,203,deepmsa_dMSA_jac_1.pdb,0.926392
204,204,deepmsa_dMSA_jac_4.pdb,0.92597
205,205,deepmsa_q3JGI_hms_0.pdb,0.924911
206,206,af3_pawan_1.pdb,0.924819
207,207,deepmsa_DeepJGI_hms_2.pdb,0.92447
208,208,deepmsa_DeepJGI_hms_0.pdb,0.924416
209,209,deepmsa_DeepJGI_hms_3.pdb,0.924375
210,210,deepmsa_DeepJGI_3.pdb,0.924319
211,211,deepmsa_q3JGI_hms_4.pdb,0.924087
212,212,deepmsa_DeepJGI_4.pdb,0.923341
213,213,deepmsa_dMSA_hms_4.pdb,0.922111
214,214,deepmsa_dMSA_4.pdb,0.921078
215,215,deepmsa_dMSA_1.pdb,0.919437
216,216,deepmsa_DeepJGI_hms_1.pdb,0.918357
217,217,deepmsa_dMSA_0.pdb,0.913347
218,218,deepmsa_DeepJGI_0.pdb,0.907376
219,219,deepmsa_DeepJGI_hms_4.pdb,0.905217
