,model,af_plddt_avg,pairwise_gdt,pairwise_tmscore,pairwise_cad_score,pairwise_lddt,enqa,gcpnet_ema,deeprank3_cluster,deeprank3_singleqa,deeprank3_singleqa_lite,gate
0,def_esm_msa_0,0.94260174,0.9846722222222222,0.9854270833333333,0.9498099999999999,0.986201388888889,0.8706,0.8772901892662048,0.909788,0.791317,0.845528,0.8672829055786133
1,def_esm_msa_1,0.94257444,0.9648944444444444,0.9663027777777778,0.9432399375,0.9831388888888889,0.869,0.8806247115135193,0.89163,0.786621,0.834692,0.8678437554836274
2,def_esm_msa_2,0.9418806,0.9831291666666667,0.9840874999999999,0.948447673611111,0.9854166666666667,0.869,0.8769248127937317,0.905348,0.785882,0.840141,0.8648781442642213
3,def_esm_msa_3,0.941531,0.9833416666666667,0.9846013888888889,0.949166861111111,0.9858750000000001,0.869,0.878484308719635,0.90869,0.794013,0.839849,0.8670619297027589
4,def_esm_msa_4,0.9415219,0.9841833333333333,0.9849305555555556,0.947976159722222,0.9851041666666668,0.8696,0.8771377801895142,0.911332,0.79809,0.845856,0.8680131447315216
5,def_esm_msa_ckpt5_0,0.94100064,0.982123611111111,0.9833493055555557,0.945864125,0.9853611111111111,0.869,0.8715125918388367,0.89991,0.783574,0.834066,0.868153120279312
6,def_esm_msa_ckpt5_1,0.94041634,0.9753631944444445,0.9785881944444443,0.9434524027777778,0.9801041666666666,0.866,0.877600371837616,0.899113,0.790803,0.843997,0.8623592126369475
7,def_esm_msa_ckpt5_2,0.9400369,0.980282638888889,0.9813423611111111,0.9470369375000001,0.9843055555555557,0.866,0.8726609349250793,0.900018,0.785455,0.836204,0.867291829586029
8,def_esm_msa_ckpt5_3,0.93951374,0.9825097222222223,0.9832388888888891,0.9476002708333334,0.9858472222222221,0.8657,0.872971773147583,0.900684,0.782028,0.834733,0.8703776550292968
9,def_esm_msa_ckpt5_4,0.9391516,0.9792875000000001,0.9808638888888888,0.9442697291666666,0.9820972222222222,0.865,0.8745741844177246,0.896029,0.779833,0.83481,0.8649897992610931
