,model,plddt_avg,af3_ranking_score
0,dhr_0.pdb,92.97207304325106,-1
1,dhr_1.pdb,92.92870095171712,-1
2,dhr_2.pdb,92.86561218302494,-1
3,dhr_3.pdb,92.8571564505651,-1
4,dhr_4.pdb,92.67271358731597,-1
5,deepmsa_q4JGI_0.pdb,92.55946432598213,-1
6,deepmsa_dMSA_hhb_0.pdb,92.291370386501,-1
7,deepmsa_dMSA_hhb_1.pdb,92.1924254169247,-1
8,deepmsa_dMSA_hhb_2.pdb,92.10205987896614,-1
9,deepmsa_qMSA_0.pdb,91.96067060504477,-1
10,deepmsa_dMSA_hhb_3.pdb,91.94790536377764,-1
11,deepmsa_dMSA_hhb_4.pdb,91.93351372839068,-1
12,deepmsa_qMSA_hhb_0.pdb,91.88670603509743,-1
13,deepmsa_qMSA_hhb_1.pdb,91.81715812110716,-1
14,deepmsa_qMSA_1.pdb,91.80558922068691,-1
15,deepmsa_q3JGI_0.pdb,91.76075287423465,-1
16,deepmsa_qMSA_2.pdb,91.69908767831326,-1
17,deepmsa_qMSA_3.pdb,91.55679683192946,-1
18,deepmsa_qMSA_hhb_2.pdb,91.54752865125334,-1
19,deepmsa_q3JGI_1.pdb,91.4585549072505,-1
20,deepmsa_q3JGI_2.pdb,91.43888587568082,-1
21,deepmsa_qMSA_hhb_3.pdb,91.27298772254572,-1
22,deepmsa_qMSA_hhb_4.pdb,91.27281422503329,-1
23,deepmsa_q4JGI_1.pdb,91.2130460209412,-1
24,deepmsa_qMSA_4.pdb,91.17284485387385,-1
25,deepmsa_q3JGI_3.pdb,91.13652582513026,-1
26,deepmsa_q4JGI_2.pdb,91.11059406307355,-1
27,deepmsa_q4JGI_3.pdb,91.10804848470087,-1
28,deepmsa_q3JGI_4.pdb,91.05640454466969,-1
29,deepmsa_q4JGI_4.pdb,91.00183579299033,-1
30,default_pdb70_new_0.pdb,90.53689963469148,-1
31,def_notemp_0.pdb,89.86567419300977,-1
32,def_notemp_1.pdb,89.52846545860754,-1
