,model,plddt_avg
120,def_dom_parser_2.pdb,85.14126522160953
121,deepmsa_q4JGI_hms_2.pdb,85.13529430844297
122,def_dom_parser_3.pdb,85.13108198737515
123,def_dom_parser_4.pdb,85.12539674227693
124,colabfold_web_0.pdb,85.11730003822075
125,deepmsa_q4JGI_hms_3.pdb,85.11337447061567
126,colabfold_web_1.pdb,85.09648543395826
127,def_esm_msa_1.pdb,85.0846696467117
128,def_esm_msa_2.pdb,85.06154220415343
129,original_4.pdb,85.04530725348691
130,colabfold_web_2.pdb,85.0368986273286
131,def_esm_msa_3.pdb,85.02705112421206
132,colabfold_web_not_0.pdb,85.02086896181869
133,deepmsa_q4JGI_1.pdb,85.0206965468059
134,def_esm_msa_4.pdb,85.0193952070148
135,colabfold_web_not_1.pdb,84.96529110083257
136,colabfold_web_3.pdb,84.94464361131406
137,deepmsa_q4JGI_2.pdb,84.90819812468746
138,colabfold_web_4.pdb,84.90715270571849
139,deepmsa_q4JGI_3.pdb,84.82408950158364
140,deepmsa_q4JGI_hms_4.pdb,84.79903943377124
141,colabfold_web_not_2.pdb,84.78583007016299
142,colabfold_web_not_3.pdb,84.76411427330166
143,deepmsa_q4JGI_4.pdb,84.64875429801707
144,colabfold_web_not_4.pdb,84.619616651209
145,def_drop_nos_0.pdb,84.61531601179388
146,def_drop_nos_1.pdb,84.54252799426969
147,def_ptm_drop_s_0.pdb,84.52313256958905
148,def_drop_s_0.pdb,84.45893471613063
149,def_notemp_drop_nos_0.pdb,84.44373363090668
150,def_notemp_drop_nos_1.pdb,84.42953602842822
151,def_notemp_drop_nos_2.pdb,84.40132980475752
152,def_drop_s_1.pdb,84.34963173783423
153,default_0.pdb,84.30990349466015
154,def_drop_s_2.pdb,84.27812073421816
155,default_1.pdb,84.2390614753003
156,def_ptm_drop_nos_0.pdb,84.2231968487072
157,dhr_0.pdb,84.21910701644143
158,def_notemp_drop_s_0.pdb,84.21820143068277
159,default_2.pdb,84.21130088703065
160,default_ptm_0.pdb,84.20025390419349
161,dhr_1.pdb,84.18938190996805
162,def_drop_s_3.pdb,84.16481181335317
163,def_drop_nos_2.pdb,84.12374755796966
164,dhr_2.pdb,84.07001001096434
165,dmsa_dom_hhsearch_0.pdb,84.06993764526395
166,def_ptm_drop_nos_1.pdb,84.04923889671139
167,def_drop_s_4.pdb,84.03672358167199
168,default_ptm_1.pdb,84.03265481510468
169,dhr_3.pdb,84.02348664770945
170,dmsa_dom_hhsearch_1.pdb,84.02230213561037
171,dmsa_dom_hhsearch_2.pdb,84.01599446037902
172,def_ptm_drop_nos_2.pdb,84.0010716904244
173,dmsa_dom_manual_0.pdb,83.99481887421518
174,def_notemp_drop_s_1.pdb,83.99036951065314
175,dmsa_dom_manual_1.pdb,83.9891928496835
176,dmsa_dom_manual_2.pdb,83.98690974431406
177,dhr_4.pdb,83.98652061864796
178,def_notemp_drop_s_2.pdb,83.98549495324657
179,def_ptm_drop_nos_3.pdb,83.98542276164562
180,def_ptm_drop_s_1.pdb,83.96129849183147
181,default_ptm_2.pdb,83.95162879876796
182,default_ptm_3.pdb,83.95134803105842
183,default_ptm_4.pdb,83.92918463101671
184,def_ptm_drop_s_2.pdb,83.91515767925198
185,def_ptm_drop_s_3.pdb,83.91254279732891
186,def_ptm_drop_nos_4.pdb,83.8903027831336
