,model,af_plddt_avg,pairwise_gdt,pairwise_tmscore,pairwise_cad_score,pairwise_lddt,enqa,gcpnet_ema,deeprank3_cluster,deeprank3_singleqa,deeprank3_singleqa_lite,gate
0,def_notemp_drop_s_0,0.88908297,0.7977098214285715,0.8522821428571429,0.8176172098214286,0.8656026785714285,0.7827,0.8027432560920715,0.755935,0.566951,0.61235,0.8657111847400666
1,def_notemp_drop_s_1,0.88810986,0.8038169642857144,0.8509808035714287,0.8141781562499999,0.8607410714285714,0.7725,0.8147376775741577,0.76037,0.555751,0.606318,0.8622690725326538
2,def_notemp_drop_s_2,0.8860515,0.7877566964285714,0.8445794642857142,0.8098772008928571,0.8619241071428572,0.7705,0.7856274843215942,0.7565,0.573268,0.616063,0.8628791773319243
3,def_notemp_drop_s_3,0.8852744,0.7946580357142857,0.8457558035714285,0.8110229642857141,0.8567857142857144,0.7754,0.7975481152534485,0.750576,0.562613,0.611901,0.8598227620124816
4,def_notemp_drop_s_4,0.88484347,0.7672616071428572,0.8227401785714287,0.7925584508928571,0.8428616071428571,0.772,0.8016970753669739,0.735865,0.559433,0.611026,0.8563321030139923
5,def_esm_msa_ckpt5_0,0.84559107,0.7632,0.8357977678571429,0.7786034687500001,0.8185446428571428,0.6885,0.7772225141525269,0.729151,0.55917,0.601807,0.816074414253235
6,def_esm_msa_ckpt5_1,0.83561105,0.7701392857142857,0.8271464285714286,0.7735296026785713,0.8180580357142857,0.664,0.7741727232933044,0.734839,0.557299,0.602625,0.820719372034073
7,def_esm_msa_ckpt5_2,0.8236117,0.6728549107142856,0.7654821428571428,0.7664315357142856,0.7955625000000001,0.6665,0.759762167930603,0.654809,0.551726,0.603002,0.7742327940464019
8,def_esm_msa_ckpt5_3,0.79143894,0.6687696428571429,0.7668446428571427,0.72990146875,0.7548526785714286,0.5864,0.7251801490783691,0.650866,0.547612,0.597244,0.756986219882965
9,def_esm_msa_ckpt5_4,0.75671816,0.6300642857142856,0.7242308035714285,0.69835884375,0.7028571428571428,0.541,0.6885239481925964,0.614175,0.528636,0.574031,0.7171144247055053
10,def_esm_msa_0,0.7425557,0.5698830357142858,0.6235540178571428,0.7111985848214285,0.7042857142857143,0.5474,0.6884706616401672,0.602133,0.537992,0.579588,0.6186950373649596
11,def_esm_msa_1,0.7401571,0.5750142857142857,0.6299866071428573,0.7032765267857144,0.6953482142857144,0.534,0.6773443818092346,0.596771,0.52889,0.561589,0.6267203223705292
12,def_esm_msa_2,0.73737705,0.5626142857142857,0.6194517857142857,0.7223966383928572,0.7153749999999999,0.5396,0.6789519786834717,0.601765,0.534034,0.569503,0.6122540879249573
13,def_esm_msa_3,0.7363821,0.5762214285714286,0.6284830357142857,0.7128306071428572,0.7029375,0.5312,0.6799715757369995,0.591595,0.516589,0.554956,0.6282472312450409
14,def_esm_msa_4,0.7358735,0.5827915178571429,0.63479375,0.6906424821428571,0.6782723214285714,0.525,0.6603740453720093,0.598467,0.521811,0.557976,0.6190843939781189
15,default_0,0.74061877,0.5568924107142857,0.6154745535714286,0.6766116875,0.6724375,0.535,0.6519986987113953,0.586189,0.525324,0.558748,0.6149508368968963
16,default_1,0.73274285,0.5743374999999998,0.6326857142857143,0.70751159375,0.6914553571428572,0.539,0.6648372411727905,0.598147,0.528828,0.563582,0.6225210809707642
17,default_2,0.7251288,0.5856620535714285,0.6360263392857143,0.6689483482142856,0.64409375,0.5146,0.6300318837165833,0.593146,0.507977,0.548736,0.6182966494560242
18,default_3,0.71860534,0.5747267857142856,0.6213647321428571,0.6644141830357143,0.6069419642857142,0.518,0.6592427492141724,0.570993,0.480712,0.515419,0.6174327743053437
19,default_4,0.71690035,0.5780169642857143,0.6291696428571428,0.6752271562500001,0.6529285714285713,0.516,0.6243082880973816,0.588302,0.515405,0.560054,0.6126257634162903
20,deepmsa_DeepJGI_0,0.89636993,0.7927642857142857,0.8382183035714286,0.8197485446428571,0.8693348214285714,0.7964,0.7802509069442749,0.768903,0.57615,0.624912,0.8673701775074006
21,deepmsa_DeepJGI_1,0.8957774,0.8069696428571429,0.8455776785714286,0.8274300714285714,0.8782767857142856,0.7935,0.7859534025192261,0.777999,0.578593,0.627717,0.8724174571037292
22,deepmsa_DeepJGI_2,0.895395,0.8056031250000001,0.8446183035714286,0.8271487901785713,0.8779285714285715,0.796,0.7890084385871887,0.777347,0.576435,0.629883,0.8732647180557251
23,deepmsa_DeepJGI_3,0.895134,0.7950004464285714,0.8410839285714287,0.8176482053571429,0.8692321428571429,0.7935,0.7878407835960388,0.768089,0.576162,0.62197,0.8684351813793182
24,deepmsa_DeepJGI_4,0.8949779,0.7934004464285714,0.8384928571428573,0.8155286294642857,0.8684196428571429,0.7954,0.7845866680145264,0.768746,0.578807,0.625101,0.8687490320205689
25,deepmsa_dMSA_jac_0,0.89676577,0.7970303571428571,0.8426678571428571,0.8257889062499999,0.8763750000000001,0.7905,0.7867520451545715,0.771084,0.581863,0.631359,0.8728274857997895
