,model,af_plddt_avg,pairwise_gdt,pairwise_tmscore,pairwise_cad_score,pairwise_lddt,enqa,gcpnet_ema,deeprank3_cluster,deeprank3_singleqa,deeprank3_singleqa_lite,gate
0,deepmsa_dMSA_0,0.9204747,0.9148659722222222,0.9255645833333332,0.9147879999999999,0.9691944444444444,0.8228,0.8607231378555298,0.920673,0.800734,0.839928,0.8847189259529115
1,deepmsa_dMSA_1,0.91981554,0.9221569444444445,0.933104861111111,0.9184670138888887,0.9719444444444443,0.8276,0.8628116846084595,0.921969,0.802853,0.838984,0.8902423107624052
2,deepmsa_dMSA_2,0.9185474,0.9139548611111111,0.9242597222222222,0.9165484236111112,0.9697569444444443,0.8213,0.8605512380599976,0.919451,0.799305,0.842529,0.8855867385864258
3,deepmsa_dMSA_3,0.91834605,0.9202187499999999,0.931629861111111,0.9154466458333334,0.9694444444444446,0.821,0.8600866794586182,0.922325,0.801885,0.843961,0.8915994620323181
4,deepmsa_dMSA_4,0.9181484,0.9221236111111111,0.9341583333333333,0.9186075694444445,0.9706250000000001,0.8228,0.8626927137374878,0.923231,0.801233,0.838014,0.8888634026050568
5,deepmsa_dMSA_hhb_0,0.9203098,0.92349375,0.9348979166666666,0.9197622777777776,0.9722291666666665,0.8267,0.8605584502220154,0.92551,0.809592,0.846786,0.8912875926494598
6,deepmsa_dMSA_hhb_1,0.92009825,0.9232361111111111,0.9355631944444442,0.9181717638888887,0.9718263888888887,0.825,0.8603053689002991,0.924797,0.803784,0.838953,0.8908248221874236
7,deepmsa_dMSA_hhb_2,0.9200363,0.923642361111111,0.9355666666666667,0.9178077152777777,0.9707499999999999,0.8257,0.8591487407684326,0.921498,0.795791,0.835227,0.8898144662380219
8,deepmsa_dMSA_hhb_3,0.919985,0.9215812500000001,0.9344951388888888,0.9176496805555558,0.9705694444444445,0.825,0.8613206744194031,0.924959,0.809931,0.842341,0.8894932746887207
9,deepmsa_dMSA_hhb_4,0.91991687,0.9233013888888889,0.9351451388888888,0.918071826388889,0.9708472222222224,0.8237,0.8591352701187134,0.927471,0.808231,0.847965,0.8932225084304809
10,deepmsa_qMSA_0,0.9157147,0.9160993055555555,0.9257340277777778,0.9136737152777776,0.9699861111111111,0.817,0.8578026294708252,0.920001,0.804024,0.844107,0.8843305230140686
11,deepmsa_qMSA_1,0.9132676,0.9150430555555558,0.9256041666666667,0.9042917569444443,0.9638680555555558,0.8115,0.8601263761520386,0.914075,0.789796,0.83458,0.876224056482315
12,deepmsa_qMSA_2,0.9128892,0.8889145833333332,0.9091208333333335,0.8856138749999999,0.9387430555555556,0.804,0.8550904989242554,0.896166,0.792826,0.833575,0.8577791893482208
13,deepmsa_qMSA_3,0.91275895,0.8871513888888889,0.9064861111111111,0.8893272986111111,0.9399236111111112,0.8057,0.8517980575561523,0.897485,0.793968,0.827578,0.8546152007579805
14,deepmsa_qMSA_4,0.9121524,0.8894215277777777,0.9098347222222222,0.8839522430555555,0.9371041666666665,0.8022,0.8538973927497864,0.89818,0.796479,0.828079,0.8599359893798828
15,deepmsa_qMSA_hhb_0,0.90960157,0.9134618055555556,0.92396875,0.9065588194444444,0.9639583333333334,0.809,0.8543001413345337,0.914638,0.79365,0.828636,0.8761321711540223
16,deepmsa_qMSA_hhb_1,0.90908027,0.8893597222222223,0.9096326388888889,0.8861081666666667,0.9385416666666667,0.803,0.8484184741973877,0.900888,0.800952,0.834042,0.8602256822586059
17,deepmsa_qMSA_hhb_2,0.9089995,0.8910645833333333,0.91161875,0.8852594999999999,0.9385277777777777,0.8022,0.8500574827194214,0.901721,0.800334,0.839641,0.8609110927581787
18,deepmsa_qMSA_hhb_3,0.9083268,0.8886298611111111,0.9091020833333333,0.8811026041666666,0.9337847222222221,0.802,0.8486128449440002,0.896678,0.786998,0.832447,0.8560132896900177
19,deepmsa_qMSA_hhb_4,0.90807575,0.8902201388888891,0.9109333333333333,0.8809570625,0.9352638888888889,0.802,0.8482435345649719,0.897358,0.788602,0.825035,0.8488757276535035
20,def_drop_nos_0,0.895485,0.9275243055555555,0.9374881944444444,0.9194704583333334,0.975013888888889,0.796,0.8550803661346436,0.922056,0.795497,0.822819,0.8978740119934082
