,model,af_plddt_avg,pairwise_gdt,pairwise_tmscore,pairwise_cad_score,pairwise_lddt,enqa,gcpnet_ema,deeprank3_cluster,deeprank3_singleqa,deeprank3_singleqa_lite,gate
0,deepmsa_qMSA_0,0.9196097,0.9411764367816092,0.9436649425287357,0.8687353103448275,0.9166839080459771,0.8594,0.8326339721679688,0.840756,0.59875,0.596762,0.9036248910427094
1,deepmsa_qMSA_1,0.91805446,0.9413626436781609,0.9435741379310344,0.8705867816091954,0.917402298850575,0.8535,0.8318561315536499,0.846301,0.608616,0.598437,0.9040177392959595
2,deepmsa_qMSA_2,0.9169878,0.9401235632183909,0.9432304597701149,0.8743279425287356,0.9190287356321839,0.86,0.8313128352165222,0.841511,0.601365,0.593954,0.9058281373977662
3,deepmsa_qMSA_3,0.91556835,0.9410379310344827,0.9434028735632185,0.8735689942528734,0.91916091954023,0.8574,0.8300658464431763,0.845361,0.606437,0.597575,0.9056752121448517
4,deepmsa_qMSA_4,0.9117293,0.9415591954022988,0.9432333333333334,0.8734266551724136,0.9187126436781609,0.8496,0.8283083438873291,0.84241,0.601963,0.597614,0.9045262336730957
5,deepmsa_qMSA_hhb_0,0.9188642,0.9356316091954022,0.9392028735632185,0.8627005517241378,0.9084367816091953,0.862,0.8316894769668579,0.843659,0.612294,0.602904,0.9077644717693328
6,deepmsa_qMSA_hhb_1,0.91816837,0.9403482758620689,0.9431264367816092,0.8716565172413793,0.9183045977011494,0.8564,0.8331751227378845,0.84141,0.599062,0.596953,0.9033244800567626
7,deepmsa_qMSA_hhb_2,0.9154731,0.9402051724137932,0.9426465517241379,0.8685347931034485,0.9168390804597703,0.8574,0.8323139548301697,0.844882,0.606069,0.598293,0.9042125272750854
8,deepmsa_qMSA_hhb_3,0.9127334,0.9400545977011494,0.9426436781609194,0.865641022988506,0.9171379310344827,0.8535,0.8285109400749207,0.841726,0.603039,0.597282,0.9023880326747895
9,deepmsa_qMSA_hhb_4,0.91272604,0.9413413793103449,0.9436724137931035,0.8715357011494251,0.918609195402299,0.8555,0.8302402496337891,0.844632,0.605892,0.595757,0.902997534275055
10,def_drop_nos_0,0.833331,0.9024367816091954,0.9092224137931034,0.8148153505747127,0.8660057471264367,0.743,0.7805593609809875,0.830481,0.618777,0.613689,0.8627019953727724
11,def_drop_nos_1,0.83104146,0.930409195402299,0.9380500000000002,0.8491180689655171,0.9012701149425287,0.7393,0.7626432776451111,0.850665,0.618214,0.606263,0.8832882463932037
12,def_drop_nos_2,0.8291211,0.9147224137931034,0.9206862068965517,0.8310708505747126,0.8823965517241381,0.7476,0.7726321816444397,0.837561,0.611299,0.601357,0.8722413456439974
13,def_drop_nos_3,0.82906586,0.9092275862068966,0.9174609195402298,0.8321677068965517,0.8765,0.748,0.7833447456359863,0.826859,0.618048,0.612054,0.8722689771652222
14,def_drop_nos_4,0.82877,0.9050218390804599,0.911094827586207,0.8191607586206897,0.8708965517241379,0.7383,0.7786156535148621,0.8312,0.622611,0.611895,0.8660902273654939
15,def_drop_s_0,0.8299788,0.9169522988505746,0.9216155172413792,0.8291601091954022,0.8810977011494252,0.7397,0.7777272462844849,0.835013,0.600379,0.591307,0.8683634042739868
16,def_drop_s_1,0.8274659,0.9141678160919541,0.9207936781609196,0.8314569827586208,0.8823505747126437,0.736,0.7695578336715698,0.834164,0.611341,0.602533,0.8694977390766143
17,def_drop_s_2,0.8246391,0.9142017241379313,0.9178045977011493,0.8235843390804598,0.8777816091954024,0.74,0.7655511498451233,0.83616,0.621774,0.613231,0.869015815258026
18,def_drop_s_3,0.82449186,0.8995626436781609,0.9057471264367818,0.8111193333333334,0.8626494252873563,0.7417,0.7706273198127747,0.827592,0.617333,0.611121,0.8579329895973207
19,def_drop_s_4,0.8230626,0.9058419540229885,0.9170206896551724,0.8258644540229885,0.8743678160919539,0.748,0.7777630090713501,0.824839,0.607644,0.608219,0.8687420797348023
20,def_notemp_0,0.89865524,0.9472867816091954,0.9504672413793104,0.8756071379310344,0.9207586206896551,0.8257,0.8232168555259705,0.858842,0.617865,0.611013,0.9042952537536622
21,def_notemp_1,0.895283,0.9455224137931033,0.9491896551724137,0.8742698620689654,0.9199827586206897,0.824,0.821656346321106,0.852875,0.607058,0.603333,0.9014061439037324
22,def_notemp_2,0.89255613,0.9464787356321839,0.949671264367816,0.8739486264367816,0.9199885057471264,0.82,0.8199045062065125,0.85819,0.616198,0.60925,0.9035372722148896
23,def_notemp_3,0.892335,0.9448678160919539,0.949169540229885,0.8746398275862067,0.9199655172413792,0.8237,0.8213064074516296,0.854259,0.615824,0.607135,0.9046309065818787
24,def_notemp_4,0.8922024,0.9464729885057472,0.9498132183908045,0.8764406494252874,0.9217931034482758,0.8247,0.8205989599227905,0.856697,0.617327,0.609005,0.9044493806362152
25,def_notemp_drop_nos_0,0.8837626,0.9447614942528737,0.949166091954023,0.8774038218390806,0.9233620689655173,0.8213,0.8155953884124756,0.854615,0.619843,0.604866,0.9026606321334839
26,def_notemp_drop_nos_1,0.88228047,0.9446775862068968,0.948778735632184,0.8751825632183908,0.9227988505747127,0.8125,0.8151787519454956,0.850275,0.60536,0.601426,0.9017116403579711
