,model,score
116,colabfold_web_4,0.927151724137931
117,colabfold_web_not_1,0.9267166666666666
118,colabfold_web_3,0.9263356321839082
119,colabfold_web_0,0.9255344827586207
120,colabfold_web_1,0.9240327586206897
121,default_4,0.9228080459770115
122,dhr_2,0.9219097701149426
123,dhr_1,0.9218781609195402
124,def_drop_s_0,0.9216155172413792
125,def_drop_s_1,0.9207936781609196
126,def_drop_nos_2,0.9206862068965517
127,dhr_0,0.9206247126436782
128,dhr_3,0.9194068965517239
129,default_0,0.9186045977011494
130,def_drop_s_2,0.9178045977011493
131,colabfold_web_not_0,0.9177500000000001
132,def_drop_nos_3,0.9174609195402298
133,def_drop_s_4,0.9170206896551724
134,default_1,0.9137844827586209
135,default_2,0.9136655172413793
136,def_drop_nos_4,0.911094827586207
137,default_ptm_3,0.9106597701149427
138,def_ptm_drop_nos_1,0.9098856321839082
139,def_drop_nos_0,0.9092224137931034
140,default_ptm_1,0.9067362068965519
141,af3_pawan_5,0.90668908045977
142,def_drop_s_3,0.9057471264367818
143,af3_jian_9,0.9038408045977012
144,af3_pawan_6,0.9036419540229885
145,default_3,0.9023873563218391
146,af3_pawan_9,0.901224712643678
147,af3_pawan_8,0.9011229885057473
148,def_ptm_drop_nos_0,0.9010022988505748
149,def_ptm_drop_nos_3,0.9008505747126436
150,def_ptm_drop_s_3,0.8987402298850574
151,default_ptm_4,0.898621264367816
152,def_ptm_drop_s_1,0.8985781609195402
153,af3_jian_2,0.8974724137931033
154,def_ptm_drop_nos_4,0.8973471264367816
155,def_ptm_drop_s_4,0.897216091954023
156,def_ptm_drop_nos_2,0.8968304597701149
157,af3_pawan_3,0.8967327586206896
158,af3_pawan_4,0.8953465517241379
159,default_ptm_2,0.8946172413793105
160,def_ptm_drop_s_2,0.894014367816092
161,default_ptm_0,0.8939844827586207
162,af3_jian_7,0.8936045977011493
163,af3_jian_3,0.8924770114942528
164,af3_pawan_7,0.8916143678160919
165,af3_jian_8,0.8891218390804597
166,af3_jian_0,0.888485632183908
167,af3_pawan_1,0.8877568965517242
168,af3_jian_6,0.8859701149425286
169,af3_jian_4,0.8797614942528735
170,af3_jian_1,0.8795764367816093
171,def_ptm_drop_s_0,0.8740212643678161
172,af3_jian_5,0.8343701149425286
173,af3_pawan_2,0.4361022988505747
174,af3_pawan_0,0.42244942528735635
