,model,plddt_avg,af3_ranking_score
0,af3_pawan_3.pdb,94.14112854003906,0.9
1,af3_pawan_0.pdb,94.01788330078125,0.9
2,af3_jian_0.pdb,93.97444152832031,0.9
3,af3_pawan_9.pdb,93.8453598022461,0.9
4,af3_pawan_1.pdb,93.75682830810547,0.9
5,af3_pawan_4.pdb,93.74182891845703,0.9
6,af3_pawan_8.pdb,93.72126770019531,0.9
7,af3_pawan_2.pdb,93.64464569091797,0.9
8,af3_jian_3.pdb,93.5932388305664,0.9
9,af3_jian_1.pdb,93.51612091064453,0.9
10,af3_pawan_7.pdb,93.51365661621094,0.9
11,af3_pawan_6.pdb,93.43055725097656,0.9
12,af3_jian_4.pdb,93.40873718261719,0.9
13,af3_jian_7.pdb,93.3340835571289,0.89
14,af3_jian_6.pdb,93.28760528564453,0.89
15,af3_jian_2.pdb,93.18887329101562,0.9
16,af3_jian_9.pdb,93.13831329345703,0.89
17,af3_pawan_5.pdb,93.1371841430664,0.9
18,af3_jian_5.pdb,93.04486083984375,0.89
19,af3_jian_8.pdb,93.02633666992188,0.89
20,deepmsa_dMSA_0.pdb,90.40367702249578,-1
21,colabfold_web_0.pdb,89.83047414971752,-1
22,deepmsa_qMSA_0.pdb,89.74068049462377,-1
23,colabfold_web_not_0.pdb,89.64931792076216,-1
24,deepmsa_dMSA_hms_0.pdb,89.51989140487329,-1
25,deepmsa_dMSA_jac_0.pdb,89.48842340782757,-1
26,colabfold_web_1.pdb,89.48356593065338,-1
27,deepmsa_dMSA_1.pdb,89.4031131337177,-1
28,deepmsa_dMSA_hms_1.pdb,89.40253804124606,-1
29,deepmsa_dMSA_hms_2.pdb,89.27911575917022,-1
30,colabfold_web_2.pdb,89.2135229728895,-1
31,ori_seq_temp_0.pdb,89.19984699604079,-1
32,deepmsa_DeepJGI_0.pdb,89.16977129942671,-1
33,deepmsa_DeepJGI_hms_0.pdb,89.14604553822525,-1
34,colabfold_web_not_1.pdb,89.13438193799895,-1
35,colabfold_web_not_2.pdb,89.11268219128677,-1
36,deepmsa_dMSA_jac_1.pdb,89.04566728726196,-1
37,deepmsa_dMSA_jac_2.pdb,88.97739980187127,-1
38,deepmsa_dMSA_hms_3.pdb,88.9466116817477,-1
39,deepmsa_DeepJGI_hms_1.pdb,88.94553485326638,-1
40,deepmsa_DeepJGI_1.pdb,88.92811275912975,-1
41,deepmsa_DeepJGI_hms_2.pdb,88.89953309900005,-1
42,deepmsa_qMSA_hhb_0.pdb,88.78680764284935,-1
43,deepmsa_dMSA_jac_3.pdb,88.77733131266002,-1
44,deepmsa_dMSA_hms_4.pdb,88.77679082462771,-1
45,deepmsa_dMSA_jac_4.pdb,88.7656874220213,-1
46,deepmsa_qMSA_hhb_1.pdb,88.73488363292844,-1
47,colabfold_web_not_3.pdb,88.6990444251742,-1
48,colabfold_web_not_4.pdb,88.68748711114388,-1
49,colabfold_web_3.pdb,88.62523607495724,-1
50,colabfold_web_4.pdb,88.57024969489366,-1
51,deepmsa_DeepJGI_2.pdb,88.5596174190096,-1
52,default_seq_temp_0.pdb,88.54498812644316,-1
53,deepmsa_q3JGI_0.pdb,88.53650852896843,-1
54,default_seq_temp_1.pdb,88.51479125065353,-1
55,deepmsa_DeepJGI_hms_3.pdb,88.51105533918631,-1
56,deepmsa_DeepJGI_3.pdb,88.44425299904462,-1
57,deepmsa_dMSA_2.pdb,88.40259480230098,-1
58,deepmsa_qMSA_hms_0.pdb,88.37374568889454,-1
59,deepmsa_dMSA_3.pdb,88.3649917812753,-1
60,deepmsa_qMSA_jac_0.pdb,88.35920068083227,-1
61,deepmsa_DeepJGI_hms_4.pdb,88.30593420092988,-1
62,deepmsa_DeepJGI_4.pdb,88.2856152417703,-1
63,ori_seq_temp_1.pdb,88.25783952779814,-1
64,deepmsa_dMSA_4.pdb,88.19290635008718,-1
65,dhr_0.pdb,87.89327946771913,-1
66,deepmsa_q4JGI_hms_0.pdb,87.66515360246976,-1
67,deepmsa_q3JGI_hms_0.pdb,87.61901584153533,-1
68,deepmsa_qMSA_hhb_2.pdb,87.5756174647474,-1
69,deepmsa_qMSA_hms_1.pdb,87.57115890381075,-1
70,deepmsa_qMSA_hhb_3.pdb,87.4249327206543,-1
71,deepmsa_q3JGI_hms_1.pdb,87.39275255402718,-1
72,deepmsa_qMSA_jac_1.pdb,87.37761091795309,-1
73,deepmsa_qMSA_1.pdb,87.17485066090012,-1
74,default_pdb70_new_0.pdb,87.16199001770656,-1
75,ori_seq_temp_2.pdb,87.10977675277101,-1
76,deepmsa_q3JGI_1.pdb,87.04746240462647,-1
77,deepmsa_q3JGI_2.pdb,87.04707463056918,-1
78,deepmsa_qMSA_hhb_4.pdb,86.92825037028908,-1
79,deepmsa_qMSA_2.pdb,86.88446596955443,-1
80,deepmsa_qMSA_hms_2.pdb,86.83941609983262,-1
81,default_seq_temp_2.pdb,86.83702048916645,-1
82,default_pdb70_new_1.pdb,86.8249315407878,-1
83,deepmsa_qMSA_3.pdb,86.77373774093773,-1
84,deepmsa_q3JGI_3.pdb,86.77135434959861,-1
85,ori_seq_temp_3.pdb,86.76190863284495,-1
86,def_notemp_drop_nos_0.pdb,86.74417344419957,-1
87,default_pdb70_new_2.pdb,86.73855108514717,-1
88,deepmsa_qMSA_jac_2.pdb,86.72155211059463,-1
89,default_seq_temp_3.pdb,86.71381831406221,-1
90,ori_seq_temp_4.pdb,86.69095481097975,-1
91,default_seq_temp_4.pdb,86.60625189411004,-1
92,deepmsa_qMSA_4.pdb,86.540805586971,-1
93,dhr_1.pdb,86.51345586120468,-1
94,default_pdb70_new_3.pdb,86.4946058074785,-1
95,deepmsa_qMSA_hms_3.pdb,86.45859585926824,-1
96,deepmsa_qMSA_hms_4.pdb,86.44069493674361,-1
97,deepmsa_q4JGI_hms_1.pdb,86.42008490018067,-1
98,dhr_2.pdb,86.4176189225112,-1
99,deepmsa_q4JGI_hms_2.pdb,86.39727262530744,-1
100,deepmsa_q4JGI_0.pdb,86.35450674220237,-1
101,deepmsa_q4JGI_hms_3.pdb,86.31567522523846,-1
102,def_notemp_0.pdb,86.29420866381757,-1
103,original_0.pdb,86.29387501453908,-1
104,original_1.pdb,86.24767898264257,-1
105,deepmsa_q3JGI_hms_2.pdb,86.23997791935761,-1
106,deepmsa_q3JGI_hms_3.pdb,86.23326963858976,-1
107,default_pdb70_new_4.pdb,86.16045136762061,-1
108,def_notemp_1.pdb,86.14787912002356,-1
109,def_ptm_notemp_0.pdb,86.10276453253863,-1
110,deepmsa_q3JGI_4.pdb,86.04242570091711,-1
111,deepmsa_q3JGI_hms_4.pdb,85.9925650833123,-1
112,def_notemp_drop_s_0.pdb,85.94369442798738,-1
113,dhr_3.pdb,85.8732546990404,-1
114,deepmsa_q4JGI_hms_4.pdb,85.84248120360351,-1
115,def_notemp_drop_nos_1.pdb,85.79219320842023,-1
116,deepmsa_qMSA_hh3_0.pdb,85.5559120878839,-1
117,deepmsa_q4JGI_1.pdb,85.51929614354637,-1
118,def_notemp_drop_nos_2.pdb,85.50672078755888,-1
119,deepmsa_qMSA_hh3_1.pdb,85.4853524008189,-1
120,deepmsa_qMSA_jac_3.pdb,85.483476258271,-1
121,deepmsa_qMSA_hh3_2.pdb,85.46170857311562,-1
122,deepmsa_q4JGI_2.pdb,85.4436316538081,-1
123,dhr_4.pdb,85.4323324574857,-1
124,original_2.pdb,85.41614266531333,-1
125,deepmsa_qMSA_hh3_3.pdb,85.34353392314654,-1
126,deepmsa_q4JGI_3.pdb,85.33618624438701,-1
127,original_3.pdb,85.29858505468573,-1
128,deepmsa_qMSA_jac_4.pdb,85.29304519779446,-1
129,def_notemp_2.pdb,85.25616983262333,-1
130,def_notemp_drop_nos_3.pdb,85.24988376470253,-1
131,deepmsa_q4JGI_4.pdb,85.19891048978484,-1
132,original_4.pdb,85.08274793204927,-1
133,def_ptm_notemp_1.pdb,85.08219334751789,-1
134,def_notemp_3.pdb,85.05567894695945,-1
135,deepmsa_qMSA_hh3_4.pdb,84.98724406451412,-1
136,def_ptm_notemp_2.pdb,84.90993383856228,-1
137,def_notemp_drop_nos_4.pdb,84.83412712172934,-1
138,def_ptm_notemp_3.pdb,84.78724265777882,-1
139,def_ptm_notemp_4.pdb,84.77496767428212,-1
140,def_notemp_drop_s_1.pdb,84.68898574271927,-1
141,def_notemp_drop_s_2.pdb,84.68041304433532,-1
142,def_notemp_4.pdb,84.59885228648834,-1
143,def_notemp_drop_s_3.pdb,84.59291113940857,-1
144,def_notemp_drop_s_4.pdb,84.4984264342143,-1
145,def_ptm_not_drop_s_0.pdb,83.91245866444714,-1
146,def_ptm_not_drop_nos_0.pdb,83.73196276280683,-1
147,def_ptm_not_drop_s_1.pdb,83.55778458993841,-1
148,def_ptm_not_drop_nos_1.pdb,83.29377434834143,-1
149,def_ptm_not_drop_s_2.pdb,83.13508264581536,-1
150,def_ptm_not_drop_nos_2.pdb,83.07935058183803,-1
151,def_ptm_not_drop_s_3.pdb,82.66534201364867,-1
152,def_ptm_not_drop_nos_3.pdb,82.57303604633525,-1
153,def_ptm_not_drop_nos_4.pdb,82.52013860008672,-1
154,def_ptm_not_drop_s_4.pdb,81.95213487645238,-1
155,def_drop_nos_0.pdb,75.42279514725851,-1
156,def_esm_msa_ckpt5_0.pdb,74.00054362162147,-1
157,def_drop_nos_1.pdb,72.03646752585385,-1
158,def_esm_msa_0.pdb,71.78248329010206,-1
159,def_esm_msa_1.pdb,70.05508138195579,-1
160,def_esm_msa_2.pdb,69.66741085606418,-1
161,def_esm_msa_3.pdb,67.21997505800988,-1
162,def_esm_msa_4.pdb,67.127519304854,-1
163,def_ptm_drop_nos_0.pdb,66.26373864681604,-1
164,def_drop_s_0.pdb,65.93277643293138,-1
165,default_0.pdb,65.08906328372854,-1
166,def_drop_nos_2.pdb,64.97163465646005,-1
167,deepmsa_dMSA_hhb_0.pdb,64.32640442057378,-1
168,def_ptm_drop_nos_1.pdb,64.11562524486833,-1
169,default_1.pdb,63.14184700918749,-1
170,def_drop_s_1.pdb,62.564946272029275,-1
171,default_2.pdb,62.01241334602978,-1
172,def_drop_nos_3.pdb,61.989887047593506,-1
173,def_ptm_drop_nos_2.pdb,61.94464359821381,-1
174,default_ptm_0.pdb,61.824060025006474,-1
175,default_3.pdb,61.56358362885217,-1
176,def_drop_s_2.pdb,61.455303471783836,-1
177,default_4.pdb,61.31299934678049,-1
178,def_drop_nos_4.pdb,60.84107099221554,-1
179,def_drop_s_3.pdb,60.25003338046187,-1
180,def_ptm_drop_nos_3.pdb,59.50123801739203,-1
181,def_drop_s_4.pdb,59.38451367813928,-1
182,def_ptm_drop_nos_4.pdb,59.11420568193742,-1
183,def_esm_msa_ckpt5_1.pdb,58.223308296120116,-1
184,deepmsa_dMSA_hhb_1.pdb,57.983942539159706,-1
185,deepmsa_dMSA_hhb_2.pdb,57.735339554619344,-1
186,deepmsa_dMSA_hhb_3.pdb,57.323219652914105,-1
187,default_ptm_1.pdb,57.22583597716383,-1
188,def_ptm_drop_s_0.pdb,56.26575924572723,-1
189,default_ptm_2.pdb,55.588493820660965,-1
190,def_esm_msa_ckpt5_2.pdb,54.592917720031274,-1
191,default_ptm_3.pdb,54.41097457262281,-1
192,def_esm_msa_ckpt5_3.pdb,54.25713702065794,-1
193,deepmsa_dMSA_hhb_4.pdb,54.08233287385025,-1
194,default_ptm_4.pdb,53.75735021460329,-1
195,def_esm_msa_ckpt5_4.pdb,53.517991126709575,-1
196,def_ptm_drop_s_1.pdb,53.33203603494136,-1
197,def_ptm_drop_s_2.pdb,52.961245209108256,-1
198,def_ptm_drop_s_3.pdb,52.092982471297795,-1
199,def_ptm_drop_s_4.pdb,52.06846649787481,-1
